County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,001,KAMOSONG PRIMARY SCHOOL,039216107600101,KAMOSONG PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,001,KAMOSONG PRIMARY SCHOOL,039216107600102,KAMOSONG PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,002,CHEBWEK S.A PRIMARY SCHOOL,039216107600201,CHEBWEK S.A PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,002,CHEBWEK S.A PRIMARY SCHOOL,039216107600202,CHEBWEK S.A PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,003,CHEPKUBE S.A PRIMARY SCHOOL,039216107600301,CHEPKUBE S.A PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,004,KIPSIS PRIMARY SCHOOL,039216107600401,KIPSIS PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,004,KIPSIS PRIMARY SCHOOL,039216107600402,KIPSIS PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,005,CHEPTAIS S.A PRIMARY SCHOOL,039216107600501,CHEPTAIS S.A PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,006,KAPSESOI PRIMARY SCHOOL,039216107600601,KAPSESOI PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,007,KIMASWA PRIMARY SCHOOL,039216107600701,KIMASWA PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,007,KIMASWA PRIMARY SCHOOL,039216107600702,KIMASWA PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,008,CHEPKUBE ACK PRIMARY SCHOOL,039216107600801,CHEPKUBE ACK PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,009,CHEPTAIS SDA PRIMARY SCHOOL,039216107600901,CHEPTAIS SDA PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,009,CHEPTAIS SDA PRIMARY SCHOOL,039216107600902,CHEPTAIS SDA PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,010,CHESIRO S.A PRIMARY SCHOOL,039216107601001,CHESIRO S.A PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,011,WALANGA FYM PRIMARY SCHOOL,039216107601101,WALANGA FYM PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,012,BURKENWO PRIMARY SCHOOL,039216107601201,BURKENWO PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,012,BURKENWO PRIMARY SCHOOL,039216107601202,BURKENWO PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,013,KUBOROM TRADING CENTRE,039216107601301,KUBOROM TRADING CENTRE
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,014,PERESTEN ACK PRIMARY SCHOOL,039216107601401,PERESTEN ACK PRIMARY SCHOOL
039,BUNGOMA,216,MT. ELGON,1076,CHEPTAIS,014,PERESTEN ACK PRIMARY SCHOOL,039216107601402,PERESTEN ACK PRIMARY SCHOOL
