County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,001,GACIIGI TEA BUYING CENTRE,014063031100101,GACIIGI TEA BUYING CENTRE
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,002,GAKUNDU COFFEE FACTORY,014063031100201,GAKUNDU COFFEE FACTORY
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,003,GAKUNDU COFFEE FACTORY OFFICES,014063031100301,GAKUNDU COFFEE FACTORY OFFICES
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,003,GAKUNDU COFFEE FACTORY OFFICES,014063031100302,GAKUNDU COFFEE FACTORY OFFICES
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,004,GICHAGO COFFEE FACTORY,014063031100401,GICHAGO COFFEE FACTORY
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,005,GICHUGU COFFEE FACTORY,014063031100501,GICHUGU COFFEE FACTORY
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,006,GISHA TEA BUYING CENTRE,014063031100601,GISHA TEA BUYING CENTRE
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,007,KAIRURI PRIMARY SCHOOL,014063031100701,KAIRURI PRIMARY SCHOOL
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,007,KAIRURI PRIMARY SCHOOL,014063031100702,KAIRURI PRIMARY SCHOOL
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,008,KAMVIU PRIMARY SCHOOL,014063031100801,KAMVIU PRIMARY SCHOOL
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,009,KARURIRI PRIMARY SCHOOL,014063031100901,KARURIRI PRIMARY SCHOOL
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,010,KITHUNDIRI TEA BUYING CENTRE,014063031101001,KITHUNDIRI TEA BUYING CENTRE
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,011,KENGA PRIMARY SCHOOL,014063031101101,KENGA PRIMARY SCHOOL
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,012,KERIA TEA BUYING CENTRE,014063031101201,KERIA TEA BUYING CENTRE
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,013,KIAMIATU TEA BUYING CENTRE,014063031101301,KIAMIATU TEA BUYING CENTRE
014,EMBU,063,MANYATTA,0311,RUGURU/NGANDORI,014,KIANGAI TEA BUYING CENTRE,014063031101401,KIANGAI TEA BUYING CENTRE
014,EMBU,063,MANYATTA,0313,NGINDA,062,KAGUMORI PRIMARY SCHOOL,014063031306202,KAGUMORI PRIMARY SCHOOL
014,EMBU,063,MANYATTA,0313,NGINDA,063,KARAU PRIMARY SCHOOL,014063031306301,KARAU PRIMARY SCHOOL
014,EMBU,063,MANYATTA,0313,NGINDA,064,KATHUNIRI PRIMARY SCHOOL,014063031306401,KATHUNIRI PRIMARY SCHOOL
014,EMBU,063,MANYATTA,0313,NGINDA,064,KATHUNIRI PRIMARY SCHOOL,014063031306402,KATHUNIRI PRIMARY SCHOOL
014,EMBU,063,MANYATTA,0313,NGINDA,065,KIAMBOGO TEA BUYING CENTRE,014063031306501,KIAMBOGO TEA BUYING CENTRE
014,EMBU,063,MANYATTA,0313,NGINDA,066,KIANGOCI TEA BUYING CENTRE,014063031306601,KIANGOCI TEA BUYING CENTRE
014,EMBU,063,MANYATTA,0313,NGINDA,067,KIBUGU PRIMARY SCHOOL,014063031306701,KIBUGU PRIMARY SCHOOL
014,EMBU,063,MANYATTA,0313,NGINDA,067,KIBUGU PRIMARY SCHOOL,014063031306702,KIBUGU PRIMARY SCHOOL
014,EMBU,063,MANYATTA,0313,NGINDA,068,MBUVORI PRIMARY SCHOOL,014063031306801,MBUVORI PRIMARY SCHOOL
