County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,001,NYAKIYA PRIMARY SCHOOL,043245122100101,NYAKIYA PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,001,NYAKIYA PRIMARY SCHOOL,043245122100102,NYAKIYA PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,002,NYAMBARE PRIMARY SCHOOL,043245122100201,NYAMBARE PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,003,KALANDING' PRIMARY SCHOOL,043245122100301,KALANDING' PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,003,KALANDING' PRIMARY SCHOOL,043245122100302,KALANDING' PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,004,MITITI PRIMARY SCHOOL,043245122100401,MITITI PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,004,MITITI PRIMARY SCHOOL,043245122100402,MITITI PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,005,KATANGA PRIMARY SCHOOL,043245122100501,KATANGA PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,005,KATANGA PRIMARY SCHOOL,043245122100502,KATANGA PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,006,OMBEK PRIMARY SCHOOL,043245122100601,OMBEK PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,006,OMBEK PRIMARY SCHOOL,043245122100602,OMBEK PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,007,DOL KODERA PRIMARY SCHOOL,043245122100701,DOL KODERA PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,007,DOL KODERA PRIMARY SCHOOL,043245122100702,DOL KODERA PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,008,ONDIKO PRIMARY SCHOOL,043245122100801,ONDIKO PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,008,ONDIKO PRIMARY SCHOOL,043245122100802,ONDIKO PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,009,NYABOLA PRIMARY SCHOOL,043245122100901,NYABOLA PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,010,NYAGOWA PRIMARY SCHOOL,043245122101001,NYAGOWA PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,010,NYAGOWA PRIMARY SCHOOL,043245122101002,NYAGOWA PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,011,NYANG'IELA PRIMARY SCHOOL,043245122101101,NYANG'IELA PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,011,NYANG'IELA PRIMARY SCHOOL,043245122101102,NYANG'IELA PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,012,GOD AGULU PRIMARY SCHOOL,043245122101201,GOD AGULU PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,012,GOD AGULU PRIMARY SCHOOL,043245122101202,GOD AGULU PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,013,KANGA OMUGA PRIMARY SCHOOL,043245122101301,KANGA OMUGA PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,014,WIRABUOR PRIMARY SCHOOL,043245122101401,WIRABUOR PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,014,WIRABUOR PRIMARY SCHOOL,043245122101402,WIRABUOR PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,015,ALERO NANGA PRIMARY SCHOOL,043245122101501,ALERO NANGA PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,016,BONGE PRIMARY SCHOOL,043245122101601,BONGE PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,017,MAGUNGU PRIMARY SCHOOL,043245122101701,MAGUNGU PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,069,GOD KWACH PRIMARY SCHOOL,043245122106901,GOD KWACH PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,070,MUMBO PRIMARY SCHOOL,043245122107001,MUMBO PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,071,ATONO PRIMARY SCHOOL,043245122107101,ATONO PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,072,NANDI PRIMARY SCHOOL,043245122107201,NANDI PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,073,NYIMBI PRIMARY SCHOOL,043245122107301,NYIMBI PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1221,WEST KASIPUL,074,GOT KAGUMBO PRIMARY SCHOOL,043245122107401,GOT KAGUMBO PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1222,SOUTH KASIPUL,018,KWOYO PRIMARY SCHOOL,043245122201801,KWOYO PRIMARY SCHOOL
043,HOMA BAY,245,KASIPUL,1222,SOUTH KASIPUL,018,KWOYO PRIMARY SCHOOL,043245122201802,KWOYO PRIMARY SCHOOL
