County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,001,NGENDA PRIMARY  SCHOOL,022111055100101,NGENDA PRIMARY  SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,001,NGENDA PRIMARY  SCHOOL,022111055100102,NGENDA PRIMARY  SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,002,GATHAGE PRIMARY  SCHOOL,022111055100201,GATHAGE PRIMARY  SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,002,GATHAGE PRIMARY  SCHOOL,022111055100202,GATHAGE PRIMARY  SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,003,KAGERA PRIMARY  SCHOOL,022111055100301,KAGERA PRIMARY  SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,003,KAGERA PRIMARY  SCHOOL,022111055100302,KAGERA PRIMARY  SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,004,KAREMBU NURSERY SCHOOL,022111055100401,KAREMBU NURSERY SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,004,KAREMBU NURSERY SCHOOL,022111055100402,KAREMBU NURSERY SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,005,MUTATI DISPENSARY,022111055100501,MUTATI DISPENSARY
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,005,MUTATI DISPENSARY,022111055100502,MUTATI DISPENSARY
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,005,MUTATI DISPENSARY,022111055100503,MUTATI DISPENSARY
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,006,NEMBU PRIMARY  SCHOOL,022111055100601,NEMBU PRIMARY  SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,006,NEMBU PRIMARY  SCHOOL,022111055100602,NEMBU PRIMARY  SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,006,NEMBU PRIMARY  SCHOOL,022111055100603,NEMBU PRIMARY  SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,007,GATITU PRIMARY  SCHOOL,022111055100701,GATITU PRIMARY  SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,007,GATITU PRIMARY  SCHOOL,022111055100702,GATITU PRIMARY  SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,008,KIGAA PRIMARY  SCHOOL,022111055100801,KIGAA PRIMARY  SCHOOL
022,KIAMBU,111,GATUNDU SOUTH,0551,KIAMWANGI,008,KIGAA PRIMARY  SCHOOL,022111055100802,KIGAA PRIMARY  SCHOOL
