County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
003,KILIFI,011,KILIFI NORTH,0051,TEZO,001,MAJAONI PRIMARY SCHOOL,003011005100101,MAJAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,001,MAJAONI PRIMARY SCHOOL,003011005100102,MAJAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,001,MAJAONI PRIMARY SCHOOL,003011005100103,MAJAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,002,MTONDIA PRIMARY SCHOOL,003011005100201,MTONDIA PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,002,MTONDIA PRIMARY SCHOOL,003011005100202,MTONDIA PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,002,MTONDIA PRIMARY SCHOOL,003011005100203,MTONDIA PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,002,MTONDIA PRIMARY SCHOOL,003011005100204,MTONDIA PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,002,MTONDIA PRIMARY SCHOOL,003011005100205,MTONDIA PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,003,TEZO PRIMARY SCHOOL,003011005100301,TEZO PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,004,BAHARI PRIMARY SCHOOL,003011005100401,BAHARI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,004,BAHARI PRIMARY SCHOOL,003011005100402,BAHARI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,005,MIKINGIRINI PRIMARY SCHOOL,003011005100501,MIKINGIRINI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,005,MIKINGIRINI PRIMARY SCHOOL,003011005100502,MIKINGIRINI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,006,NGERENYA PRIMARY SCHOOL,003011005100601,NGERENYA PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,006,NGERENYA PRIMARY SCHOOL,003011005100602,NGERENYA PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,006,NGERENYA PRIMARY SCHOOL,003011005100603,NGERENYA PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,006,NGERENYA PRIMARY SCHOOL,003011005100604,NGERENYA PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,007,ZOWERANI PRIMARY SCHOOL,003011005100701,ZOWERANI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,008,SOYOSOYO PRIMARY SCHOOL(NGERENYA),003011005100801,SOYOSOYO PRIMARY SCHOOL(NGEREN
003,KILIFI,011,KILIFI NORTH,0051,TEZO,008,SOYOSOYO PRIMARY SCHOOL(NGERENYA),003011005100802,SOYOSOYO PRIMARY SCHOOL(NGEREN
003,KILIFI,011,KILIFI NORTH,0051,TEZO,009,BAHATI PRIMARY SCHOOL,003011005100901,BAHATI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,009,BAHATI PRIMARY SCHOOL,003011005100902,BAHATI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,009,BAHATI PRIMARY SCHOOL,003011005100903,BAHATI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,009,BAHATI PRIMARY SCHOOL,003011005100904,BAHATI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,010,ZOWERANI VDC NURSERY SCHOOL,003011005101001,ZOWERANI VDC NURSERY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,010,ZOWERANI VDC NURSERY SCHOOL,003011005101002,ZOWERANI VDC NURSERY SCHOOL
003,KILIFI,011,KILIFI NORTH,0051,TEZO,011,BOFA PRIMARY SCHOOL,003011005101101,BOFA PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,012,KIBAONI PRIMARY SCHOOL,003011005201201,KIBAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,012,KIBAONI PRIMARY SCHOOL,003011005201202,KIBAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,012,KIBAONI PRIMARY SCHOOL,003011005201203,KIBAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,012,KIBAONI PRIMARY SCHOOL,003011005201204,KIBAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,012,KIBAONI PRIMARY SCHOOL,003011005201205,KIBAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,012,KIBAONI PRIMARY SCHOOL,003011005201206,KIBAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,012,KIBAONI PRIMARY SCHOOL,003011005201207,KIBAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,012,KIBAONI PRIMARY SCHOOL,003011005201208,KIBAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,012,KIBAONI PRIMARY SCHOOL,003011005201209,KIBAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,012,KIBAONI PRIMARY SCHOOL,003011005201210,KIBAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,012,KIBAONI PRIMARY SCHOOL,003011005201211,KIBAONI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,013,KIWANDANI PRIMARY SCHOOL,003011005201301,KIWANDANI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,013,KIWANDANI PRIMARY SCHOOL,003011005201302,KIWANDANI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,013,KIWANDANI PRIMARY SCHOOL,003011005201303,KIWANDANI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,013,KIWANDANI PRIMARY SCHOOL,003011005201304,KIWANDANI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,013,KIWANDANI PRIMARY SCHOOL,003011005201305,KIWANDANI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,013,KIWANDANI PRIMARY SCHOOL,003011005201306,KIWANDANI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,013,KIWANDANI PRIMARY SCHOOL,003011005201307,KIWANDANI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,013,KIWANDANI PRIMARY SCHOOL,003011005201308,KIWANDANI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,014,KILIFI PRIMARY SCHOOL,003011005201401,KILIFI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,014,KILIFI PRIMARY SCHOOL,003011005201402,KILIFI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,014,KILIFI PRIMARY SCHOOL,003011005201403,KILIFI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,014,KILIFI PRIMARY SCHOOL,003011005201404,KILIFI PRIMARY SCHOOL
003,KILIFI,011,KILIFI NORTH,0052,SOKONI,014,KILIFI PRIMARY SCHOOL,003011005201405,KILIFI PRIMARY SCHOOL
