County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
045,KISII,261,BONCHARI,1301,BOMARIBA,001,NYABIMWA PRIMARY SCHOOL,045261130100101,NYABIMWA PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,001,NYABIMWA PRIMARY SCHOOL,045261130100102,NYABIMWA PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,002,NYABIEYO PRIMARY SCHOOL,045261130100201,NYABIEYO PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,003,MOGUMO PRIMARY SCHOOL,045261130100301,MOGUMO PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,003,MOGUMO PRIMARY SCHOOL,045261130100302,MOGUMO PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,004,IGONGA PRIMARY SCHOOL,045261130100401,IGONGA PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,004,IGONGA PRIMARY SCHOOL,045261130100402,IGONGA PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,004,IGONGA PRIMARY SCHOOL,045261130100403,IGONGA PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,005,ISAMWERA PRIMARY SCHOOL,045261130100501,ISAMWERA PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,005,ISAMWERA PRIMARY SCHOOL,045261130100502,ISAMWERA PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,006,EBATE PRIMARY SCHOOL,045261130100601,EBATE PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,006,EBATE PRIMARY SCHOOL,045261130100602,EBATE PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,007,KENYORORA PRIMARY SCHOOL,045261130100701,KENYORORA PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,007,KENYORORA PRIMARY SCHOOL,045261130100702,KENYORORA PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,008,MIRANGA PRIMARY SCHOOL,045261130100801,MIRANGA PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,009,RIAMAGIGE PRIMARY SCHOOL,045261130100901,RIAMAGIGE PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,010,ENTANKE YOUTH POLYTECHNIC.,045261130101001,ENTANKE YOUTH POLYTECHNIC.
045,KISII,261,BONCHARI,1301,BOMARIBA,011,BOMARIBA PRIMARY SCHOOL,045261130101101,BOMARIBA PRIMARY SCHOOL
045,KISII,261,BONCHARI,1301,BOMARIBA,012,NYAMAGUNDO FARMERS COOPERATIVE SO,045261130101201,NYAMAGUNDO FARMERS COOPERATIV
045,KISII,261,BONCHARI,1301,BOMARIBA,013,GESERO MARKET,045261130101301,GESERO MARKET
045,KISII,261,BONCHARI,1301,BOMARIBA,013,GESERO MARKET,045261130101302,GESERO MARKET
045,KISII,261,BONCHARI,1302,BOGIAKUMU,014,IRUMA PRIMARY SCHOOL,045261130201401,IRUMA PRIMARY SCHOOL
045,KISII,261,BONCHARI,1302,BOGIAKUMU,014,IRUMA PRIMARY SCHOOL,045261130201402,IRUMA PRIMARY SCHOOL
045,KISII,261,BONCHARI,1302,BOGIAKUMU,015,MATONGO PRIMARY SCHOOL,045261130201501,MATONGO PRIMARY SCHOOL
