County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,001,MWARONI PRIMARY SCHOOL,002007003100101,MWARONI PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,001,MWARONI PRIMARY SCHOOL,002007003100102,MWARONI PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,001,MWARONI PRIMARY SCHOOL,002007003100103,MWARONI PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,001,MWARONI PRIMARY SCHOOL,002007003100104,MWARONI PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,001,MWARONI PRIMARY SCHOOL,002007003100105,MWARONI PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,002,MWAKAMBA NURSERYSCHOOL,002007003100201,MWAKAMBA NURSERYSCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,002,MWAKAMBA NURSERYSCHOOL,002007003100202,MWAKAMBA NURSERYSCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,003,SHAMU PRIMARY SCHOOL,002007003100301,SHAMU PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,003,SHAMU PRIMARY SCHOOL,002007003100302,SHAMU PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,004,MWAMANGA PRIMARY SCHOOL,002007003100401,MWAMANGA PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,004,MWAMANGA PRIMARY SCHOOL,002007003100402,MWAMANGA PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,005,MABOKONI PRIMAR SCHOOL,002007003100501,MABOKONI PRIMAR SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,006,BONGWE PRIMARY SCHOOL,002007003100601,BONGWE PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,006,BONGWE PRIMARY SCHOOL,002007003100602,BONGWE PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,006,BONGWE PRIMARY SCHOOL,002007003100603,BONGWE PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,007,MBUWANI PRIMARY SCHOOL,002007003100701,MBUWANI PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,008,MWAMAMBI PRIMARY SCHOOL,002007003100801,MWAMAMBI PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,008,MWAMAMBI PRIMARY SCHOOL,002007003100802,MWAMAMBI PRIMARY SCHOOL
002,KWALE,007,MSAMBWENI,0031,GOMBATO BONGWE,008,MWAMAMBI PRIMARY SCHOOL,002007003100803,MWAMAMBI PRIMARY SCHOOL
