County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,001,DIDKURO PRIMARY SCHOOL,009039019100101,DIDKURO PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,001,DIDKURO PRIMARY SCHOOL,009039019100102,DIDKURO PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,001,DIDKURO PRIMARY SCHOOL,009039019100103,DIDKURO PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,002,DUDUBLE PRIMARY SCHOOL,009039019100201,DUDUBLE PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,002,DUDUBLE PRIMARY SCHOOL,009039019100202,DUDUBLE PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,003,WANGAI DAHAN PRIMARY SCHOOL,009039019100301,WANGAI DAHAN PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,004,SUKELA QULI PRIMARY SCHOOL,009039019100401,SUKELA QULI PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,005,KOTKOTO PRIMARY SCHOOL,009039019100501,KOTKOTO PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,006,BOLOWLE PRIMARY SCHOOL,009039019100601,BOLOWLE PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,007,KOBADADI PRIMARY SCHOOL,009039019100701,KOBADADI PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,008,KOROBO PRIMARY SCHOOL,009039019100801,KOROBO PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,036,AMASA PRIMARY SCHOOL,009039019103601,AMASA PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,037,WAYAM DERA PRIMARY SCHOOL,009039019103701,WAYAM DERA PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,038,ITILALE PRIMARY SCHOOL,009039019103801,ITILALE PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,039,GULANI PRIMARY SCHOOL,009039019103901,GULANI PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,040,MAJIGARAM PRIMARY SCHOOL,009039019104001,MAJIGARAM PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,040,MAJIGARAM PRIMARY SCHOOL,009039019104002,MAJIGARAM PRIMARY SCHOOL
009,MANDERA,039,MANDERA WEST,0191,TAKABA SOUTH,041,AYAN PRIMARY SCHOOL,009039019104101,AYAN PRIMARY SCHOOL
