County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
012,MERU,051,IGEMBE SOUTH,0251,MAUA,001,MAUA STADIUM,012051025100101,MAUA STADIUM
012,MERU,051,IGEMBE SOUTH,0251,MAUA,001,MAUA STADIUM,012051025100102,MAUA STADIUM
012,MERU,051,IGEMBE SOUTH,0251,MAUA,001,MAUA STADIUM,012051025100103,MAUA STADIUM
012,MERU,051,IGEMBE SOUTH,0251,MAUA,001,MAUA STADIUM,012051025100104,MAUA STADIUM
012,MERU,051,IGEMBE SOUTH,0251,MAUA,002,MAUA GIRLS HIGH SCHOOL,012051025100201,MAUA GIRLS HIGH SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,002,MAUA GIRLS HIGH SCHOOL,012051025100202,MAUA GIRLS HIGH SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,002,MAUA GIRLS HIGH SCHOOL,012051025100203,MAUA GIRLS HIGH SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,002,MAUA GIRLS HIGH SCHOOL,012051025100204,MAUA GIRLS HIGH SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,003,MAUA TEA BANDA,012051025100301,MAUA TEA BANDA
012,MERU,051,IGEMBE SOUTH,0251,MAUA,003,MAUA TEA BANDA,012051025100302,MAUA TEA BANDA
012,MERU,051,IGEMBE SOUTH,0251,MAUA,004,MAUA PRIMARY SCHOOL,012051025100401,MAUA PRIMARY SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,004,MAUA PRIMARY SCHOOL,012051025100402,MAUA PRIMARY SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,005,KILALAI PRIMARY SCHOOL,012051025100501,KILALAI PRIMARY SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,005,KILALAI PRIMARY SCHOOL,012051025100502,KILALAI PRIMARY SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,006,GITURA PRIMARY SCHOOL,012051025100601,GITURA PRIMARY SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,006,GITURA PRIMARY SCHOOL,012051025100602,GITURA PRIMARY SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,006,GITURA PRIMARY SCHOOL,012051025100603,GITURA PRIMARY SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,007,KATHIMA PRIMARY SCHOOL,012051025100701,KATHIMA PRIMARY SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,008,KITHETU PRIMARY SCHOOL,012051025100801,KITHETU PRIMARY SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,009,ANKURANI PRIMARY SCHOOL,012051025100901,ANKURANI PRIMARY SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,010,MAKUTANO NURSERY SCHOOL,012051025101001,MAKUTANO NURSERY SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,011,KITHAENE NURSERY SCHOOL,012051025101101,KITHAENE NURSERY SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,012,UBAAYA NURSERY SCHOOL,012051025101201,UBAAYA NURSERY SCHOOL
012,MERU,051,IGEMBE SOUTH,0251,MAUA,013,KITHETU OPEN AIR MARKET,012051025101301,KITHETU OPEN AIR MARKET
012,MERU,051,IGEMBE SOUTH,0251,MAUA,014,MAUA CEREALS AND PRODUCE BOARD COM,012051025101401,MAUA CEREALS AND PRODUCE BOARD
012,MERU,051,IGEMBE SOUTH,0251,MAUA,014,MAUA CEREALS AND PRODUCE BOARD COM,012051025101402,MAUA CEREALS AND PRODUCE BOARD
012,MERU,051,IGEMBE SOUTH,0251,MAUA,014,MAUA CEREALS AND PRODUCE BOARD COM,012051025101403,MAUA CEREALS AND PRODUCE BOARD
012,MERU,051,IGEMBE SOUTH,0251,MAUA,015,MAUA METHODIST HOSPITAL COMPOUND,012051025101501,MAUA METHODIST HOSPITAL COMPOU
012,MERU,051,IGEMBE SOUTH,0251,MAUA,015,MAUA METHODIST HOSPITAL COMPOUND,012051025101502,MAUA METHODIST HOSPITAL COMPOU
012,MERU,051,IGEMBE SOUTH,0251,MAUA,015,MAUA METHODIST HOSPITAL COMPOUND,012051025101503,MAUA METHODIST HOSPITAL COMPOU
012,MERU,051,IGEMBE SOUTH,0251,MAUA,015,MAUA METHODIST HOSPITAL COMPOUND,012051025101504,MAUA METHODIST HOSPITAL COMPOU
012,MERU,051,IGEMBE SOUTH,0251,MAUA,095,KILULI VOICE OF SALVATION CHURCH,012051025109501,KILULI VOICE OF SALVATION CHURCH
012,MERU,051,IGEMBE SOUTH,0251,MAUA,096,MAUA YOUTH EMPOWERMENT CENTRE,012051025109601,MAUA YOUTH EMPOWERMENT CENTR
