County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,001,KANYADGIRO PRIMARY,044253126100101,KANYADGIRO PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,002,TONYE PRIMARY,044253126100201,TONYE PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,002,TONYE PRIMARY,044253126100202,TONYE PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,003,OFWANGA PRIMARY,044253126100301,OFWANGA PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,003,OFWANGA PRIMARY,044253126100302,OFWANGA PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,004,TUK JOWI PRIMARY,044253126100401,TUK JOWI PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,004,TUK JOWI PRIMARY,044253126100402,TUK JOWI PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,005,LWALA PRIMARY,044253126100501,LWALA PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,006,MINYENYA PRIMARY,044253126100601,MINYENYA PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,006,MINYENYA PRIMARY,044253126100602,MINYENYA PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,007,KAMEJI PRIMARY,044253126100701,KAMEJI PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,007,KAMEJI PRIMARY,044253126100702,KAMEJI PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,008,KADIANG'A PRIMARY,044253126100801,KADIANG'A PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,008,KADIANG'A PRIMARY,044253126100802,KADIANG'A PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,009,KUNA PRIMARY,044253126100901,KUNA PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,010,SUMBA PRIMARY,044253126101001,SUMBA PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,011,MIYARE PRIMARY,044253126101101,MIYARE PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,012,URIRI PRIMARY,044253126101201,URIRI PRIMARY
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,066,NDEGE ORIEDO CHIEF'S CAMP,044253126106601,NDEGE ORIEDO CHIEF'S CAMP
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,067,KOMITO PRIMARY SCHOOL,044253126106701,KOMITO PRIMARY SCHOOL
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,068,ANDING'O PRIMARY SCHOOL,044253126106801,ANDING'O PRIMARY SCHOOL
044,MIGORI,253,RONGO,1261,NORTH KAMAGAMBO,069,GOD NYINYO PRIMARY SCHOOL,044253126106901,GOD NYINYO PRIMARY SCHOOL
044,MIGORI,253,RONGO,1262,CENTRAL KAMAGAMBO,013,NYAKWERE PRIMARY,044253126201301,NYAKWERE PRIMARY
044,MIGORI,253,RONGO,1262,CENTRAL KAMAGAMBO,013,NYAKWERE PRIMARY,044253126201302,NYAKWERE PRIMARY
044,MIGORI,253,RONGO,1262,CENTRAL KAMAGAMBO,014,KAMONDI PRIMARY,044253126201401,KAMONDI PRIMARY
044,MIGORI,253,RONGO,1262,CENTRAL KAMAGAMBO,014,KAMONDI PRIMARY,044253126201402,KAMONDI PRIMARY
044,MIGORI,253,RONGO,1262,CENTRAL KAMAGAMBO,014,KAMONDI PRIMARY,044253126201403,KAMONDI PRIMARY
044,MIGORI,253,RONGO,1262,CENTRAL KAMAGAMBO,015,KOSODO PRIMARY,044253126201501,KOSODO PRIMARY
044,MIGORI,253,RONGO,1262,CENTRAL KAMAGAMBO,015,KOSODO PRIMARY,044253126201502,KOSODO PRIMARY
044,MIGORI,253,RONGO,1262,CENTRAL KAMAGAMBO,015,KOSODO PRIMARY,044253126201503,KOSODO PRIMARY
044,MIGORI,253,RONGO,1262,CENTRAL KAMAGAMBO,016,SIALA PRIMARY,044253126201601,SIALA PRIMARY
044,MIGORI,253,RONGO,1262,CENTRAL KAMAGAMBO,017,MARERA PRIMARY,044253126201701,MARERA PRIMARY
044,MIGORI,253,RONGO,1262,CENTRAL KAMAGAMBO,018,MATAGARO PRIMARY,044253126201801,MATAGARO PRIMARY
044,MIGORI,253,RONGO,1262,CENTRAL KAMAGAMBO,018,MATAGARO PRIMARY,044253126201802,MATAGARO PRIMARY
