County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
032,NAKURU,166,MOLO,0826,MARIASHONI,001,MARIASHONI PRIMARY SCHOOL,032166082600101,MARIASHONI PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,001,MARIASHONI PRIMARY SCHOOL,032166082600102,MARIASHONI PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,002,NDOSWA PRIMARY SCHOOL,032166082600201,NDOSWA PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,003,TERTIT NURSERY  SCHOOL,032166082600301,TERTIT NURSERY  SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,004,ROMBEI PRIMARY SCHOOL,032166082600401,ROMBEI PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,004,ROMBEI PRIMARY SCHOOL,032166082600402,ROMBEI PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,005,OINOBTICH PRIMARY SCHOOL,032166082600501,OINOBTICH PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,005,OINOBTICH PRIMARY SCHOOL,032166082600502,OINOBTICH PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,006,KAPCHOLOLA NURSERY SCHOOL,032166082600601,KAPCHOLOLA NURSERY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,007,KAPROP PRIMARY SCHOOL,032166082600701,KAPROP PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,007,KAPROP PRIMARY SCHOOL,032166082600702,KAPROP PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,008,KIPTUNGA PRIMARY SCHOOL,032166082600801,KIPTUNGA PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,009,LAWINA PRIMARY SCHOOL,032166082600901,LAWINA PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,009,LAWINA PRIMARY SCHOOL,032166082600902,LAWINA PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,060,TIMOO PRIMARY SCHOOL,032166082606001,TIMOO PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,062,KIMONIO  PRIMARY SCHOOL,032166082606201,KIMONIO  PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,063,KIPLELMOI PRIMARY SCHOOL,032166082606301,KIPLELMOI PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,064,KOINDAMET PRIMARY SCHOOL,032166082606401,KOINDAMET PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,065,MARIASHONI SECONDARY SCHOOL,032166082606501,MARIASHONI SECONDARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,066,SEGUT PRIMARY SCHOOL,032166082606601,SEGUT PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,067,ROMBERO PRIMARY SCHOOL,032166082606701,ROMBERO PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,068,FULLGOSPEL CHURCH MARIASHONI,032166082606801,FULLGOSPEL CHURCH MARIASHONI
032,NAKURU,166,MOLO,0826,MARIASHONI,069,TUIYOBEI PRIMARY SCHOOL,032166082606901,TUIYOBEI PRIMARY SCHOOL
032,NAKURU,166,MOLO,0826,MARIASHONI,071,DARAJA PRIMARY SCHOOL,032166082607101,DARAJA PRIMARY SCHOOL
032,NAKURU,166,MOLO,0827,ELBURGON,010,NYAKIAMBI PRIMARY SCHOOL,032166082701001,NYAKIAMBI PRIMARY SCHOOL
032,NAKURU,166,MOLO,0827,ELBURGON,010,NYAKIAMBI PRIMARY SCHOOL,032166082701002,NYAKIAMBI PRIMARY SCHOOL
032,NAKURU,166,MOLO,0827,ELBURGON,011,ELBURGON BAPTIST SECONDARY SCHOOL,032166082701101,ELBURGON BAPTIST SECONDARY SCHO
032,NAKURU,166,MOLO,0827,ELBURGON,011,ELBURGON BAPTIST SECONDARY SCHOOL,032166082701102,ELBURGON BAPTIST SECONDARY SCHO
