County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,001,LOLUA VILLAGE (MOBILE),025133066100101,LOLUA VILLAGE (MOBILE)
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,002,MUGUR PRIMARY SCHOOL,025133066100201,MUGUR PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,003,LMISIGIYOI PRIMARY SCHOOL,025133066100301,LMISIGIYOI PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,004,LARIAK OROK  NURSERY SCHOOL,025133066100401,LARIAK OROK  NURSERY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,005,DARAJA NURSERY SCHOOL,025133066100501,DARAJA NURSERY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,006,KISIMA PRIMARY SCHOOL,025133066100601,KISIMA PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,006,KISIMA PRIMARY SCHOOL,025133066100602,KISIMA PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,007,LALAING'OK NURSERY SCHOOL,025133066100701,LALAING'OK NURSERY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,008,NAIBORKEJU PRIMARY SCHOOL,025133066100801,NAIBORKEJU PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,009,LPETPET PRIMARY SCHOOL,025133066100901,LPETPET PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,010,LOLTULELEI PRIMARY SCHOOL,025133066101001,LOLTULELEI PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,011,LKILORITI PRIMARY SCHOOL,025133066101101,LKILORITI PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,012,LODOKEJEK PRIMARY SCHOOL,025133066101201,LODOKEJEK PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,013,LOCHO NURSERY SCHOOL,025133066101301,LOCHO NURSERY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,014,SURA ADORU PRIMARY SCHOOL,025133066101401,SURA ADORU PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,015,KIRIMUN PRIMARY SCHOOL,025133066101501,KIRIMUN PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,016,KIRIMUN NURSERY SCHOOL,025133066101601,KIRIMUN NURSERY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,017,GARMA NURSERY SCHOOL,025133066101701,GARMA NURSERY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,018,KELELE PRIMARY SCHOOL,025133066101801,KELELE PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,019,NENKER'PUS PRIMARY SCHOOL,025133066101901,NENKER'PUS PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,020,NG'AMATA PRIMARY SCHOOL,025133066102001,NG'AMATA PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,096,LOUKU ECD PRE SCHOOL,025133066109601,LOUKU ECD PRE SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,097,MPOGANI ECD PRE SCHOOL,025133066109701,MPOGANI ECD PRE SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,098,LBAA LESUKUTA PRE SCHOOL,025133066109801,LBAA LESUKUTA PRE SCHOOL
025,SAMBURU,133,SAMBURU WEST,0661,LODOKEJEK,099,LKICHAKI PRE SCHOOL,025133066109901,LKICHAKI PRE SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,021,KITABOR PRIMARY SCHOOL,025133066202101,KITABOR PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,022,LOLMOLOG PRIMARY SCHOOL,025133066202201,LOLMOLOG PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,022,LOLMOLOG PRIMARY SCHOOL,025133066202202,LOLMOLOG PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,023,LORUKOTI PRIMARY SCHOOL,025133066202301,LORUKOTI PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,024,LMARI NURSERY SCHOOL,025133066202401,LMARI NURSERY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,025,LOGORATE PRIMARY SCHOOL,025133066202501,LOGORATE PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,026,ANGATA RONGAI PRIMARY SCHOOL,025133066202601,ANGATA RONGAI PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,027,NKUTOTO PRIMARY SCHOOL,025133066202701,NKUTOTO PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,028,LCHORO LELERAI PRIMARY SCHOOL,025133066202801,LCHORO LELERAI PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,029,SUGUTA MARMAR PRIMARY SCHOOL,025133066202901,SUGUTA MARMAR PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,029,SUGUTA MARMAR PRIMARY SCHOOL,025133066202902,SUGUTA MARMAR PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,030,SUGUTA MARMAR NURSERY SCHOOL,025133066203001,SUGUTA MARMAR NURSERY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,030,SUGUTA MARMAR NURSERY SCHOOL,025133066203002,SUGUTA MARMAR NURSERY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,031,NASUR PRIMARY SCHOOL,025133066203101,NASUR PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,032,AMAIYA PRIMARY SCHOOL,025133066203201,AMAIYA PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,033,LONGEWAN PRIMARY SCHOOL,025133066203301,LONGEWAN PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,033,LONGEWAN PRIMARY SCHOOL,025133066203302,LONGEWAN PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,102,LOLGESE PRIMARY SCHOOL,025133066210201,LOLGESE PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,103,LOLMOLOK DAY MIXED SECONDARY SCHOO,025133066210301,LOLMOLOK DAY MIXED SECONDARY SC
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,104,LOWA MARA ECD PRE SCHOOL,025133066210401,LOWA MARA ECD PRE SCHOOL
025,SAMBURU,133,SAMBURU WEST,0662,SUGUTA MARMAR,105,LARIAK OROK PRIMARY SCHOOL,025133066210501,LARIAK OROK PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,034,NOMOTIO PRIMARY SCHOOL,025133066303401,NOMOTIO PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,035,LGOS PRIMARY SCHOOL,025133066303501,LGOS PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,036,LPARTUK PRIMARY SCHOOL,025133066303601,LPARTUK PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,037,LKUROTO PRIMARY SCHOOL,025133066303701,LKUROTO PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,038,MARALAL EQUITY(OPEN),025133066303801,MARALAL EQUITY(OPEN)
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,038,MARALAL EQUITY(OPEN),025133066303802,MARALAL EQUITY(OPEN)
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,039,SAMBURU TEACHERS SACCO(OPEN),025133066303901,SAMBURU TEACHERS SACCO(OPEN)
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,040,AP LINE I (OPEN),025133066304001,AP LINE I (OPEN)
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,041,HIGHWAY MARALAL (OPEN),025133066304101,HIGHWAY MARALAL (OPEN)
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,041,HIGHWAY MARALAL (OPEN),025133066304102,HIGHWAY MARALAL (OPEN)
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,042,LUMA MORR NURSERY SCHOOL,025133066304201,LUMA MORR NURSERY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,043,MARALAL D.E.B. PRIMARY SCHOOL,025133066304301,MARALAL D.E.B. PRIMARY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,044,SOITPUS NURSERY SCHOOL,025133066304401,SOITPUS NURSERY SCHOOL
025,SAMBURU,133,SAMBURU WEST,0663,MARALAL,045,KIRISIA CEREALS BOARD,025133066304501,KIRISIA CEREALS BOARD
