County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,001,KIPINI PRIMARY SCHOOL,004018008600101,KIPINI PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,001,KIPINI PRIMARY SCHOOL,004018008600102,KIPINI PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,001,KIPINI PRIMARY SCHOOL,004018008600103,KIPINI PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,002,ZIWANI  PRIMARY SCHOOL,004018008600201,ZIWANI  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,002,ZIWANI  PRIMARY SCHOOL,004018008600202,ZIWANI  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,003,SHAURI MOYO  PRIMARY SCHOOL,004018008600301,SHAURI MOYO  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,004,KIZUILIYANI NURSERY SCHOOL,004018008600401,KIZUILIYANI NURSERY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,005,MCHELELO  PRIMARY SCHOOL,004018008600501,MCHELELO  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,006,MATANGENI  PRIMARY SCHOOL,004018008600601,MATANGENI  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,007,GATUNDU  PRIMARY SCHOOL,004018008600701,GATUNDU  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,008,MAJIWENI  PRIMARY SCHOOL,004018008600801,MAJIWENI  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,009,MAPUNGA PRIMARY SCHOOL,004018008600901,MAPUNGA PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,010,KILELENGWANI  PRIMARY SCHOOL,004018008601001,KILELENGWANI  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,011,KAU  PRIMARY SCHOOL,004018008601101,KAU  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,012,REKETA  PRIMARY SCHOOL,004018008601201,REKETA  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,013,OZI  PRIMARY SCHOOL,004018008601301,OZI  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,014,MPEKETONI NURSERY SCHOOL,004018008601401,MPEKETONI NURSERY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,088,KIPINI SECONDARY SCHOOL,004018008608801,KIPINI SECONDARY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,089,KALOLENI NURSERY SCHOOL,004018008608901,KALOLENI NURSERY SCHOOL
004,TANA RIVER,018,GARSEN,0086,KIPINI EAST,090,KIBAONI NURSERY SCHOOL,004018008609001,KIBAONI NURSERY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,015,IDSOWE  PRIMARY SCHOOL,004018008701501,IDSOWE  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,015,IDSOWE  PRIMARY SCHOOL,004018008701502,IDSOWE  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,016,MINJILA NURSERY SCHOOL,004018008701601,MINJILA NURSERY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,016,MINJILA NURSERY SCHOOL,004018008701602,MINJILA NURSERY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,017,DIDAADE  PRIMARY SCHOOL,004018008701701,DIDAADE  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,017,DIDAADE  PRIMARY SCHOOL,004018008701702,DIDAADE  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,018,KIBUSU  PRIMARY SCHOOL,004018008701801,KIBUSU  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,019,DALU  PRIMARY SCHOOL,004018008701901,DALU  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,020,TARASAA SECONDARY SCHOOL,004018008702001,TARASAA SECONDARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,021,TARASAA  PRIMARY SCHOOL,004018008702101,TARASAA  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,021,TARASAA  PRIMARY SCHOOL,004018008702102,TARASAA  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,022,HIARI COMMUNITY HALL,004018008702201,HIARI COMMUNITY HALL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,023,ARAP MOI  PRIMARY SCHOOL,004018008702301,ARAP MOI  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,024,NGAO SOCIAL HALL,004018008702401,NGAO SOCIAL HALL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,025,GOLBANTI  PRIMARY SCHOOL,004018008702501,GOLBANTI  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,026,FURAHA  PRIMARY SCHOOL,004018008702601,FURAHA  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,026,FURAHA  PRIMARY SCHOOL,004018008702602,FURAHA  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,027,BURA KOFIRA  PRIMARY SCHOOL,004018008702701,BURA KOFIRA  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,028,ON-WARDEI PRIMARY SCHOOL,004018008702801,ON-WARDEI PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,029,GUBANI NURSERY SCHOOL,004018008702901,GUBANI NURSERY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,091,ODA SECONDARY SCHOOL,004018008709101,ODA SECONDARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,092,DALU SECONDARY SCHOOL,004018008709201,DALU SECONDARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,093,USHINDI PRIMARY SCHOOL,004018008709301,USHINDI PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0087,GARSEN SOUTH,106,RAMADA PRIMARY SCHOOL,004018008710601,RAMADA PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,030,HANDARAKU  PRIMARY SCHOOL,004018008803001,HANDARAKU  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,030,HANDARAKU  PRIMARY SCHOOL,004018008803002,HANDARAKU  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,031,TARA KOSHORO CENTRE,004018008803101,TARA KOSHORO CENTRE
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,031,TARA KOSHORO CENTRE,004018008803102,TARA KOSHORO CENTRE
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,032,KIKOMO  PRIMARY SCHOOL,004018008803201,KIKOMO  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,033,NDURU  PRIMARY SCHOOL,004018008803301,NDURU  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,034,SEMIKARO  PRIMARY SCHOOL,004018008803401,SEMIKARO  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,035,CHAMWANAMUMA  PRIMARY SCHOOL,004018008803501,CHAMWANAMUMA  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,036,SHIRIKISHO  PRIMARY SCHOOL,004018008803601,SHIRIKISHO  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,037,DARGA GALGE NURSERY SCHOOL,004018008803701,DARGA GALGE NURSERY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,038,ODOLE NURSERY SCHOOL,004018008803801,ODOLE NURSERY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,039,MUANJA CENTRE,004018008803901,MUANJA CENTRE
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,040,REKETA CENTRE,004018008804001,REKETA CENTRE
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,041,TANA SALT NURSERY SCHOOL,004018008804101,TANA SALT NURSERY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,042,HURARA  PRIMARY SCHOOL,004018008804201,HURARA  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,042,HURARA  PRIMARY SCHOOL,004018008804202,HURARA  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,042,HURARA  PRIMARY SCHOOL,004018008804203,HURARA  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,042,HURARA  PRIMARY SCHOOL,004018008804204,HURARA  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,043,KATSANGANI  PRIMARY SCHOOL,004018008804301,KATSANGANI  PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,044,METICHARAKA PRIMARY SCHOOL,004018008804401,METICHARAKA PRIMARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,095,MNARANI ECD CENTRE,004018008809501,MNARANI ECD CENTRE
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,096,HASHAKA SECONDARY SCHOOL,004018008809601,HASHAKA SECONDARY SCHOOL
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,097,MTO KILIFI ECD CENTRE,004018008809701,MTO KILIFI ECD CENTRE
004,TANA RIVER,018,GARSEN,0088,KIPINI WEST,098,MSURUJANI ECD CENTRE,004018008809801,MSURUJANI ECD CENTRE
