County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,001,KIINI PRIMARY SCHOOL,013060029600101,KIINI PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,002,IKAME PRIMARY SCHOOL,013060029600201,IKAME PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,003,MUGONA PRIMARY SCHOOL,013060029600301,MUGONA PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,004,KIAMUCHUMBI TEA BUYING CENTRE,013060029600401,KIAMUCHUMBI TEA BUYING CENTRE
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,005,PCEA MITHERU CHURCH GROUNDS,013060029600501,PCEA MITHERU CHURCH GROUNDS
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,006,GIAMPAMPO PRIMARY SCHOOL,013060029600601,GIAMPAMPO PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,006,GIAMPAMPO PRIMARY SCHOOL,013060029600602,GIAMPAMPO PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,007,GAKETHA PRIMARY SCHOOL,013060029600701,GAKETHA PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,008,MINUGU PRIMARY SCHOOL,013060029600801,MINUGU PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,009,RUGUTA PRIMARY SCHOOL,013060029600901,RUGUTA PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,010,KAMACHUKU PRIMARY SCHOOL,013060029601001,KAMACHUKU PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,011,MUTHENGE APOSTLOIC CHURCH GROUNDS,013060029601101,MUTHENGE APOSTLOIC CHURCH GRO
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,012,IGANGARA SECONDARY SCHOOL,013060029601201,IGANGARA SECONDARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,013,KAGANJO PRIMARY SCHOOL,013060029601301,KAGANJO PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,014,MURAGARA PRIMARY SCHOOL,013060029601401,MURAGARA PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,015,KAMUTUMA NICA CHURCH GROUNDS,013060029601501,KAMUTUMA NICA CHURCH GROUNDS
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,016,NDUMBINI PRIMARY SCHOOL,013060029601601,NDUMBINI PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,017,KATHANGAWE PRIMARY SCHOOL,013060029601701,KATHANGAWE PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,018,MATINIA MARKET GROUNDS,013060029601801,MATINIA MARKET GROUNDS
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,019,KAGONGO GACHEKE PRIMARY SCHOOL,013060029601901,KAGONGO GACHEKE PRIMARY SCHOO
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,020,NKURURU NURSERY SCHOOL,013060029602001,NKURURU NURSERY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,021,KARIMBA PRIMARY SCHOOL,013060029602101,KARIMBA PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,022,MAGUNDU PRIMARY SCHOOL,013060029602201,MAGUNDU PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,023,IRIANI COFFEE FACTORY,013060029602301,IRIANI COFFEE FACTORY
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,024,MAGUNDU SECONDARY SCHOOL,013060029602401,MAGUNDU SECONDARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,025,GITUNTU PRIMARY SCHOOL,013060029602501,GITUNTU PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,026,GITUNTU SECONDARY SCHOOL,013060029602601,GITUNTU SECONDARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,027,MIKUU PRIMARY SCHOOL,013060029602701,MIKUU PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0296,MITHERU,028,MIKUU MARKET GROUNDS,013060029602801,MIKUU MARKET GROUNDS
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,029,MARIMA PRIMARY SCHOOL,013060029702901,MARIMA PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,030,RUREA PRIMARY SCHOOL,013060029703001,RUREA PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,031,MUTHAMBI POLYTECHNIC,013060029703101,MUTHAMBI POLYTECHNIC
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,032,WILLIES PRIMARY SCHOOL,013060029703201,WILLIES PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,033,KARIANI PRIMARY SCHOOL,013060029703301,KARIANI PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,034,NKUNDI PRIMARY SCHOOL,013060029703401,NKUNDI PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,035,KATHUGUNE METHODIST,013060029703501,KATHUGUNE METHODIST
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,036,NTATUA PRIMARY SCHOOL,013060029703601,NTATUA PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,037,NICA GICHUE CHURCH GROUNDS,013060029703701,NICA GICHUE CHURCH GROUNDS
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,038,MAATHA PRIMARY SCHOOL,013060029703801,MAATHA PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,039,KANORO PRIMARY SCHOOL,013060029703901,KANORO PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,040,NTAKANI PRIMARY SCHOOL,013060029704001,NTAKANI PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,041,NICA KARENI CHURCH GROUNDS,013060029704101,NICA KARENI CHURCH GROUNDS
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,042,MUKUTHUKU PCEA CHURCH GROUNDS,013060029704201,MUKUTHUKU PCEA CHURCH GROUND
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,043,MUMBUNI PRIMARY SCHOOL,013060029704301,MUMBUNI PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,044,KARIGINI PRIMARY SCHOOL,013060029704401,KARIGINI PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,045,KAJIAMBAKI PRIMARY SCHOOL,013060029704501,KAJIAMBAKI PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,046,IKINDU PRIMARY SCHOOL,013060029704601,IKINDU PRIMARY SCHOOL
013,THARAKA - NITHI,060,MAARA,0297,MUTHAMBI,047,D.E.B NTUIBU NURSERY SCHOOL,013060029704701,D.E.B NTUIBU NURSERY SCHOOL
