County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
008,WAJIR,033,WAJIR NORTH,0161,GURAR,001,GURAR OLD PRY,008033016100101,GURAR OLD PRY
008,WAJIR,033,WAJIR NORTH,0161,GURAR,002,KARIBUKE CENTRE,008033016100201,KARIBUKE CENTRE
008,WAJIR,033,WAJIR NORTH,0161,GURAR,003,GURAR PRY SCH,008033016100301,GURAR PRY SCH
008,WAJIR,033,WAJIR NORTH,0161,GURAR,004,BAMBA DAM,008033016100401,BAMBA DAM
008,WAJIR,033,WAJIR NORTH,0161,GURAR,005,GARIKILO PRY,008033016100501,GARIKILO PRY
008,WAJIR,033,WAJIR NORTH,0161,GURAR,006,SAKE GAMADHA,008033016100601,SAKE GAMADHA
008,WAJIR,033,WAJIR NORTH,0161,GURAR,007,GARSE SARE VILLAGE,008033016100701,GARSE SARE VILLAGE
008,WAJIR,033,WAJIR NORTH,0161,GURAR,008,QARSA ABULLA,008033016100801,QARSA ABULLA
008,WAJIR,033,WAJIR NORTH,0161,GURAR,009,BILATU AMIN,008033016100901,BILATU AMIN
008,WAJIR,033,WAJIR NORTH,0161,GURAR,069,DARANLE PRIMARY SCHOOL,008033016106901,DARANLE PRIMARY SCHOOL
008,WAJIR,033,WAJIR NORTH,0161,GURAR,070,GURAR SECONDARY SCHOOL,008033016107001,GURAR SECONDARY SCHOOL
008,WAJIR,033,WAJIR NORTH,0162,BUTE,010,BUTE ARID ZONE PRY,008033016201001,BUTE ARID ZONE PRY
008,WAJIR,033,WAJIR NORTH,0162,BUTE,011,MALABA PRY SCH,008033016201101,MALABA PRY SCH
008,WAJIR,033,WAJIR NORTH,0162,BUTE,012,WALENSTUTU CENTRE,008033016201201,WALENSTUTU CENTRE
008,WAJIR,033,WAJIR NORTH,0162,BUTE,013,BUTE GIRLS SEC,008033016201301,BUTE GIRLS SEC
008,WAJIR,033,WAJIR NORTH,0162,BUTE,014,GARAROBA VILLAGE,008033016201401,GARAROBA VILLAGE
008,WAJIR,033,WAJIR NORTH,0162,BUTE,015,ADADIJOLE PRY SCH,008033016201501,ADADIJOLE PRY SCH
008,WAJIR,033,WAJIR NORTH,0162,BUTE,016,OGORJI PRY SCH,008033016201601,OGORJI PRY SCH
008,WAJIR,033,WAJIR NORTH,0162,BUTE,017,OGORJILIBO CENTRE,008033016201701,OGORJILIBO CENTRE
008,WAJIR,033,WAJIR NORTH,0162,BUTE,018,BUTE BOYS SEC,008033016201801,BUTE BOYS SEC
008,WAJIR,033,WAJIR NORTH,0162,BUTE,019,JARTEY CENTRE,008033016201901,JARTEY CENTRE
008,WAJIR,033,WAJIR NORTH,0162,BUTE,071,OLOLDINLE PRIMARY SCHOOL,008033016207101,OLOLDINLE PRIMARY SCHOOL
008,WAJIR,033,WAJIR NORTH,0162,BUTE,072,CHALALAQA PRIMARY SCHOOL,008033016207201,CHALALAQA PRIMARY SCHOOL
008,WAJIR,033,WAJIR NORTH,0162,BUTE,073,BUTE MIXED SECONDARY SCHOOL,008033016207301,BUTE MIXED SECONDARY SCHOOL
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,020,KORONDILE PRY SCH,008033016302001,KORONDILE PRY SCH
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,021,LENSAYU PRY SCH,008033016302101,LENSAYU PRY SCH
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,022,LAKOLE NORTH CENTRE,008033016302201,LAKOLE NORTH CENTRE
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,023,UNSILE WATER POINT,008033016302301,UNSILE WATER POINT
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,024,NYATA BORE HOLE,008033016302401,NYATA BORE HOLE
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,025,RABSU CENTRE,008033016302501,RABSU CENTRE
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,026,TULUROBA CENTRE,008033016302601,TULUROBA CENTRE
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,026,TULUROBA CENTRE,008033016302602,TULUROBA CENTRE
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,027,BITOREBAY WATER POINT,008033016302701,BITOREBAY WATER POINT
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,028,LENSAYU DISPENSARY,008033016302801,LENSAYU DISPENSARY
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,029,MILISADED PRY SCH.,008033016302901,MILISADED PRY SCH.
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,030,KORONDILLE BOYS SEC.,008033016303001,KORONDILLE BOYS SEC.
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,031,BASIR NORTH CENTRE,008033016303101,BASIR NORTH CENTRE
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,074,SIREY PRIMARY SCHOOL,008033016307401,SIREY PRIMARY SCHOOL
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,076,JARTE ECD,008033016307601,JARTE ECD
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,077,GOLBO ECD,008033016307701,GOLBO ECD
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,079,FUNAN HOSA PRIMARY,008033016307901,FUNAN HOSA PRIMARY
008,WAJIR,033,WAJIR NORTH,0163,KORONDILE,080,NYATA PRIMARY SCHOOL,008033016308001,NYATA PRIMARY SCHOOL
008,WAJIR,033,WAJIR NORTH,0164,MALKAGUFU,032,MALKA GUFU PRY SCH,008033016403201,MALKA GUFU PRY SCH
008,WAJIR,033,WAJIR NORTH,0164,MALKAGUFU,032,MALKA GUFU PRY SCH,008033016403202,MALKA GUFU PRY SCH
008,WAJIR,033,WAJIR NORTH,0164,MALKAGUFU,033,BERTI ABDIAZIZ,008033016403301,BERTI ABDIAZIZ
008,WAJIR,033,WAJIR NORTH,0164,MALKAGUFU,034,EL-BORU IDO WATER POINT,008033016403401,EL-BORU IDO WATER POINT
