County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,1,TANGUL PRI. SCHOOL,2.81471E+13,TANGUL PRI. SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,2,TENDERWA PRI. SCHOOL,2.81471E+13,TENDERWA PRI. SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,3,KAPYEGO PRI. SCHOOL,2.81471E+13,KAPYEGO PRI. SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,4,KALYA PRIMARY SCHOOL,2.81471E+13,KALYA PRIMARY SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,5,KAMELEI PRI. SCHOOL,2.81471E+13,KAMELEI PRI. SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,6,CHESUPKWO NUR. SCHOOL,2.81471E+13,CHESUPKWO NUR. SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,7,KAPCHOGE PRI. SCHOOL,2.81471E+13,KAPCHOGE PRI. SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,8,KAPCHELAGA WOOL SHADE,2.81471E+13,KAPCHELAGA WOOL SHADE
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,9,TEBE PRI. SCHOOL,2.81471E+13,TEBE PRI. SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,10,KARARIA PRI SCHOOL,2.81471E+13,KARARIA PRI SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,11,KAPCHEMURKELDET PRI. SCHOOL,2.81471E+13,KAPCHEMURKELDET PRI. SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,12,KAPTOBENDO PRI. SCHOOL,2.81471E+13,KAPTOBENDO PRI. SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,13,SEGUT TRAD. CENTRE,2.81471E+13,SEGUT TRAD. CENTRE
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,14,KAMASIA PRI. SCHOOL,2.81471E+13,KAMASIA PRI. SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,15,CHEPTOBOT PRI. SCHOOL,2.81471E+13,CHEPTOBOT PRI. SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,16,KAPCHELAGA PRI. SCHOOL,2.81471E+13,KAPCHELAGA PRI. SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,17,TANGUL NURSERY SCHOOL,2.81471E+13,TANGUL NURSERY SCHOOL
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,18,TANGUL TRADING CENTRE,2.81471E+13,TANGUL TRADING CENTRE
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,19,CHEPYOMAT OUTREACH CENTRE,2.81471E+13,CHEPYOMAT OUTREACH CENTRE
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,20,KAPYEGO CATHOLIC CHURCH,2.81471E+13,KAPYEGO CATHOLIC CHURCH
28,ELGEYO/MARAKWET,147,MARAKWET EAST,731,KAPYEGO,21,TENDERWA NUR. SCHOOL,2.81471E+13,TENDERWA NUR. SCHOOL
