County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
020,KIRINYAGA,100,MWEA,0496,MUTITHI,001,KAGIO PRIMARY SCHOOL,020100049600101,KAGIO PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,001,KAGIO PRIMARY SCHOOL,020100049600102,KAGIO PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,001,KAGIO PRIMARY SCHOOL,020100049600103,KAGIO PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,001,KAGIO PRIMARY SCHOOL,020100049600104,KAGIO PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,001,KAGIO PRIMARY SCHOOL,020100049600105,KAGIO PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,002,KINYAGA PRIMARY SCHOOL,020100049600201,KINYAGA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,002,KINYAGA PRIMARY SCHOOL,020100049600202,KINYAGA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,003,ST MARY'S MUTITHI GIRLS SECONDARY SCH,2.01E+13,ST MARY'S MUTITHI GIRLS SECONDARY
020,KIRINYAGA,100,MWEA,0496,MUTITHI,003,ST MARY'S MUTITHI GIRLS SECONDARY SCH,2.01E+13,ST MARY'S MUTITHI GIRLS SECONDARY
020,KIRINYAGA,100,MWEA,0496,MUTITHI,003,ST MARY'S MUTITHI GIRLS SECONDARY SCH,2.01E+13,ST MARY'S MUTITHI GIRLS SECONDARY
020,KIRINYAGA,100,MWEA,0496,MUTITHI,004,KANDONGU PRIMARY SCHOOL,020100049600401,KANDONGU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,004,KANDONGU PRIMARY SCHOOL,020100049600402,KANDONGU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,005,KANGA'RU PRIMARY SCHOOL,020100049600501,KANGA'RU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,006,RWANG'ONDU PRIMARY SCHOOL,020100049600601,RWANG'ONDU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,006,RWANG'ONDU PRIMARY SCHOOL,020100049600602,RWANG'ONDU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,007,KWA' V' KENYA NATIONAL HIGHWAYS AUTH,020100049600701,KWA' V' KENYA NATIONAL HIGHWAYS
020,KIRINYAGA,100,MWEA,0496,MUTITHI,007,KWA' V' KENYA NATIONAL HIGHWAYS AUTH,020100049600702,KWA' V' KENYA NATIONAL HIGHWAYS
020,KIRINYAGA,100,MWEA,0496,MUTITHI,008,RUKANGA PRIMARY SCHOOL,020100049600801,RUKANGA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,008,RUKANGA PRIMARY SCHOOL,020100049600802,RUKANGA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,009,KAMINJI PRIMARY SCHOOL,020100049600901,KAMINJI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,009,KAMINJI PRIMARY SCHOOL,020100049600902,KAMINJI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,009,KAMINJI PRIMARY SCHOOL,020100049600903,KAMINJI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,010,MUTITHI PRIMARY SCHOOL,020100049601001,MUTITHI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,010,MUTITHI PRIMARY SCHOOL,020100049601002,MUTITHI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,010,MUTITHI PRIMARY SCHOOL,020100049601003,MUTITHI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,011,KIRWARA PRIMARY SCHOOL,020100049601101,KIRWARA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,011,KIRWARA PRIMARY SCHOOL,020100049601102,KIRWARA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,012,RIANDIRA PRIMARY SCHOOL,020100049601201,RIANDIRA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,012,RIANDIRA PRIMARY SCHOOL,020100049601202,RIANDIRA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,013,NGO'THI PRIMARY SCHOOL,020100049601301,NGO'THI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,013,NGO'THI PRIMARY SCHOOL,020100049601302,NGO'THI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,014,WAMUMU REHABILITATION SCHOOL,020100049601401,WAMUMU REHABILITATION SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,015,WAKANIU PRIMARY SCHOOL,020100049601501,WAKANIU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,015,WAKANIU PRIMARY SCHOOL,020100049601502,WAKANIU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0496,MUTITHI,016,GOOD SAMARITAN SECONDARY SCHOOL,020100049601601,GOOD SAMARITAN SECONDARY SCHO
020,KIRINYAGA,100,MWEA,0496,MUTITHI,016,GOOD SAMARITAN SECONDARY SCHOOL,020100049601602,GOOD SAMARITAN SECONDARY SCHO
020,KIRINYAGA,100,MWEA,0496,MUTITHI,017,KIAMIKUYU YOUTH POLYTECHNIC,020100049601701,KIAMIKUYU YOUTH POLYTECHNIC
020,KIRINYAGA,100,MWEA,0496,MUTITHI,095,KIAMACIRI ACK CHURCH,020100049609501,KIAMACIRI ACK CHURCH
020,KIRINYAGA,100,MWEA,0497,KANGAI,018,MIANYA PRIMARY SCHOOL,020100049701801,MIANYA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,018,MIANYA PRIMARY SCHOOL,020100049701802,MIANYA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,018,MIANYA PRIMARY SCHOOL,020100049701803,MIANYA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,019,NYAGA PRIMARY SCHOOL,020100049701901,NYAGA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,019,NYAGA PRIMARY SCHOOL,020100049701902,NYAGA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,019,NYAGA PRIMARY SCHOOL,020100049701903,NYAGA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,020,KANGURE PRIMARY SCHOOL,020100049702001,KANGURE PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,020,KANGURE PRIMARY SCHOOL,020100049702002,KANGURE PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,020,KANGURE PRIMARY SCHOOL,020100049702003,KANGURE PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,020,KANGURE PRIMARY SCHOOL,020100049702004,KANGURE PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,021,KANGAI PRIMARY SCHOOL,020100049702101,KANGAI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,021,KANGAI PRIMARY SCHOOL,020100049702102,KANGAI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,021,KANGAI PRIMARY SCHOOL,020100049702103,KANGAI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,021,KANGAI PRIMARY SCHOOL,020100049702104,KANGAI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,022,GITOO-INI PRIMARY SCHOOL,020100049702201,GITOO-INI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,022,GITOO-INI PRIMARY SCHOOL,020100049702202,GITOO-INI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,023,NDABA PRIMARY SCHOOL,020100049702301,NDABA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,023,NDABA PRIMARY SCHOOL,020100049702302,NDABA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,024,KOMBU-INI PRIMARY SCHOOL,020100049702401,KOMBU-INI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,024,KOMBU-INI PRIMARY SCHOOL,020100049702402,KOMBU-INI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0497,KANGAI,024,KOMBU-INI PRIMARY SCHOOL,020100049702403,KOMBU-INI PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,025,MUKOU PRIMARY SCHOOL,020100049802501,MUKOU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,025,MUKOU PRIMARY SCHOOL,020100049802502,MUKOU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,025,MUKOU PRIMARY SCHOOL,020100049802503,MUKOU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,026,KARIRA PRIMARY SCHOOL,020100049802601,KARIRA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,027,NYAIKUNGU PRIMARY SCHOOL,020100049802701,NYAIKUNGU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,027,NYAIKUNGU PRIMARY SCHOOL,020100049802702,NYAIKUNGU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,028,NGUKA PRIMARY SCHOOL,020100049802801,NGUKA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,028,NGUKA PRIMARY SCHOOL,020100049802802,NGUKA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,029,NDOROME PRIMARY SCHOOL,020100049802901,NDOROME PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,029,NDOROME PRIMARY SCHOOL,020100049802902,NDOROME PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,029,NDOROME PRIMARY SCHOOL,020100049802903,NDOROME PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,030,MBUI NJERU PRIMARY SCHOOL,020100049803001,MBUI NJERU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,030,MBUI NJERU PRIMARY SCHOOL,020100049803002,MBUI NJERU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,030,MBUI NJERU PRIMARY SCHOOL,020100049803003,MBUI NJERU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,030,MBUI NJERU PRIMARY SCHOOL,020100049803004,MBUI NJERU PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,031,THIBA PRIMARY SCHOOL,020100049803101,THIBA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,031,THIBA PRIMARY SCHOOL,020100049803102,THIBA PRIMARY SCHOOL
020,KIRINYAGA,100,MWEA,0498,THIBA,031,THIBA PRIMARY SCHOOL,020100049803103,THIBA PRIMARY SCHOOL
