County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
006,TAITA TAVETA,023,TAVETA,0111,CHALA,001,CHALA PRIMARY SCHOOL,006023011100101,CHALA PRIMARY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,001,CHALA PRIMARY SCHOOL,006023011100102,CHALA PRIMARY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,002,ZIWANI PRIMARY SCHOOL,006023011100201,ZIWANI PRIMARY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,003,MAHANDAKINI PRIMARY SCHOOL,006023011100301,MAHANDAKINI PRIMARY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,003,MAHANDAKINI PRIMARY SCHOOL,006023011100302,MAHANDAKINI PRIMARY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,004,KIDONG U PRIMARY SCHOOL,006023011100401,KIDONG U PRIMARY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,005,LUMI  PRIMARY SCHOOL,006023011100501,LUMI  PRIMARY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,006,NJUKINI PRIMARY SCHOOL,006023011100601,NJUKINI PRIMARY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,006,NJUKINI PRIMARY SCHOOL,006023011100602,NJUKINI PRIMARY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,006,NJUKINI PRIMARY SCHOOL,006023011100603,NJUKINI PRIMARY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,007,CHOKAA PRIMARY SCHOOL,006023011100701,CHOKAA PRIMARY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,007,CHOKAA PRIMARY SCHOOL,006023011100702,CHOKAA PRIMARY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,008,ST. JOSEPH KIVUKONI PRIMARY SCHOOL,006023011100801,ST. JOSEPH KIVUKONI PRIMARY SCHOO
006,TAITA TAVETA,023,TAVETA,0111,CHALA,009,KIKWASUNI NURSERY SCHOOL,006023011100901,KIKWASUNI NURSERY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,010,ULAWANI NURSERY SCHOOL,006023011101001,ULAWANI NURSERY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,011,MAJENGO NURSERY SCHOOL,006023011101101,MAJENGO NURSERY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,013,UTHIANI NURSERY SCHOOL,006023011101301,UTHIANI NURSERY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,014,CHALA CHINI NURSERY SCHOOL,006023011101401,CHALA CHINI NURSERY SCHOOL
006,TAITA TAVETA,023,TAVETA,0111,CHALA,060,SIR RAMSON ECD,006023011106001,SIR RAMSON ECD
006,TAITA TAVETA,023,TAVETA,0111,CHALA,061,OLEPOLOS ECD,006023011106101,OLEPOLOS ECD
