County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,001,NAKITOEKAKUMUON  PRIMARY SCHOOL,023123061100101,NAKITOEKAKUMUON  PRIMARY SCHO
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,002,KAERIS PRIMARY SCHOOL,023123061100201,KAERIS PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,002,KAERIS PRIMARY SCHOOL,023123061100202,KAERIS PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,003,NADUNGA PRIMARY SCHOOL,023123061100301,NADUNGA PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,004,KANGAKIPUR PRIMARY SCHOOL,023123061100401,KANGAKIPUR PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,005,KANUKURUDIO PRIMARY SCHOOL,023123061100501,KANUKURUDIO PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,005,KANUKURUDIO PRIMARY SCHOOL,023123061100502,KANUKURUDIO PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,006,KAITUKO PRIMARY SCHOOL,023123061100601,KAITUKO PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,007,MILIMATATU PRIMARY SCHOOL,023123061100701,MILIMATATU PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,007,MILIMATATU PRIMARY SCHOOL,023123061100702,MILIMATATU PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,008,KALOPETA WATER POINT,023123061100801,KALOPETA WATER POINT
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,009,NAURIENDIRIA PRIMARY SCHOOL,023123061100901,NAURIENDIRIA PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,010,KANGAMOJOJ PRIMARY SCHOOL,023123061101001,KANGAMOJOJ PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,108,NAKALILIOT ECDE,023123061110801,NAKALILIOT ECDE
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,109,LOKWAKEL ECDE,023123061110901,LOKWAKEL ECDE
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,110,MATANKORIO WATERPOINT,023123061111001,MATANKORIO WATERPOINT
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,111,KALODOKUME WATER POINT,023123061111101,KALODOKUME WATER POINT
023,TURKANA,123,TURKANA NORTH,0611,KAERIS,112,LORENGO WATER POINT,023123061111201,LORENGO WATER POINT
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,011,TODONYANG PRIMARY SCHOOL,023123061201101,TODONYANG PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,011,TODONYANG PRIMARY SCHOOL,023123061201102,TODONYANG PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,012,NACHUKUI PRIMARY SCHOOL,023123061201201,NACHUKUI PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,012,NACHUKUI PRIMARY SCHOOL,023123061201202,NACHUKUI PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,013,LOWARENGAK PRIMARY SCHOOL,023123061201301,LOWARENGAK PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,013,LOWARENGAK PRIMARY SCHOOL,023123061201302,LOWARENGAK PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,014,NARENGEWOI PRIMARY SCHOOL,023123061201401,NARENGEWOI PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,015,NARIOKOTOME PRIMARY SCHOOL,023123061201501,NARIOKOTOME PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,016,KATABOI PRIMARY SCHOOL,023123061201601,KATABOI PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,016,KATABOI PRIMARY SCHOOL,023123061201602,KATABOI PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,017,NASECHABUIN PRIMARY SCHOOL,023123061201701,NASECHABUIN PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,018,LOMEKWI PRIMARY SCHOOL,023123061201801,LOMEKWI PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,019,KATIKO PRIMARY SCHOOL,023123061201901,KATIKO PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,020,RIOKOMOR PRIMARY SCHOOL,023123061202001,RIOKOMOR PRIMARY SCHOOL
023,TURKANA,123,TURKANA NORTH,0612,LAKE ZONE,020,RIOKOMOR PRIMARY SCHOOL,023123061202002,RIOKOMOR PRIMARY SCHOOL
