County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
038,VIHIGA,211,VIHIGA,1051,LUGAGA-WAMULUMA,001,VISIRU PRIMARY SCHOOL,038211105100101,VISIRU PRIMARY SCHOOL
038,VIHIGA,211,VIHIGA,1051,LUGAGA-WAMULUMA,002,MATAGALU PRIMARY SCHOOL,038211105100201,MATAGALU PRIMARY SCHOOL
038,VIHIGA,211,VIHIGA,1051,LUGAGA-WAMULUMA,003,MAGUI PRIMARY SCHOOL,038211105100301,MAGUI PRIMARY SCHOOL
038,VIHIGA,211,VIHIGA,1051,LUGAGA-WAMULUMA,003,MAGUI PRIMARY SCHOOL,038211105100302,MAGUI PRIMARY SCHOOL
038,VIHIGA,211,VIHIGA,1051,LUGAGA-WAMULUMA,004,IGAKALA PRIMARY SCHOOL,038211105100401,IGAKALA PRIMARY SCHOOL
038,VIHIGA,211,VIHIGA,1051,LUGAGA-WAMULUMA,005,IDUKU PRIMARY SCHOOL,038211105100501,IDUKU PRIMARY SCHOOL
038,VIHIGA,211,VIHIGA,1051,LUGAGA-WAMULUMA,005,IDUKU PRIMARY SCHOOL,038211105100502,IDUKU PRIMARY SCHOOL
038,VIHIGA,211,VIHIGA,1051,LUGAGA-WAMULUMA,006,MADIRA PRIMARY SCHOOL,038211105100601,MADIRA PRIMARY SCHOOL
038,VIHIGA,211,VIHIGA,1051,LUGAGA-WAMULUMA,006,MADIRA PRIMARY SCHOOL,038211105100602,MADIRA PRIMARY SCHOOL
038,VIHIGA,211,VIHIGA,1051,LUGAGA-WAMULUMA,007,KEDOHI PRIMARY SCHOOL,038211105100701,KEDOHI PRIMARY SCHOOL
038,VIHIGA,211,VIHIGA,1051,LUGAGA-WAMULUMA,007,KEDOHI PRIMARY SCHOOL,038211105100702,KEDOHI PRIMARY SCHOOL
038,VIHIGA,211,VIHIGA,1051,LUGAGA-WAMULUMA,008,MUHANDA PRIMARY SCHOOL,038211105100801,MUHANDA PRIMARY SCHOOL
038,VIHIGA,211,VIHIGA,1051,LUGAGA-WAMULUMA,008,MUHANDA PRIMARY SCHOOL,038211105100802,MUHANDA PRIMARY SCHOOL
