County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
030,BARINGO,157,TIATY,0781,TIRIOKO,001,NGAINA PRIMARY SCHOOL,030157078100101,NGAINA PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,002,SUKUT  PRIMARY SCHOOL,030157078100201,SUKUT  PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,003,NG'ELEYO PRE SCHOOL,030157078100301,NG'ELEYO PRE SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,004,NG'ORON PRIMARY  SCHOOL,030157078100401,NG'ORON PRIMARY  SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,005,KAPENGURIA PRIMARY SCHOOL,030157078100501,KAPENGURIA PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,006,PTIKII PRIMARY  SCHOOL,030157078100601,PTIKII PRIMARY  SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,007,ORONTO KREZE PRIMARY S CHOOL,030157078100701,ORONTO KREZE PRIMARY S CHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,008,ROTII  PRIMARY SCHOOL,030157078100801,ROTII  PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,009,EMBOSITIT  PRE SCHOOL,030157078100901,EMBOSITIT  PRE SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,010,ADOMEYON NURSERY SCHOOL,030157078101001,ADOMEYON NURSERY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,011,KIMNYAN PRIMARY  SCHOOL,030157078101101,KIMNYAN PRIMARY  SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,012,KAPUNYANY PRIMARY SCHOOL,030157078101201,KAPUNYANY PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,013,KONG'OR VILLAGE MOBILE,030157078101301,KONG'OR VILLAGE MOBILE
030,BARINGO,157,TIATY,0781,TIRIOKO,014,AKORET CENTER.,030157078101401,AKORET CENTER.
030,BARINGO,157,TIATY,0781,TIRIOKO,015,KAMRIO PRIMARY SCHOOL,030157078101501,KAMRIO PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,016,KAPAU PRE SCHOOL,030157078101601,KAPAU PRE SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,017,KAPEDO PRIMARY SCHOOL,030157078101701,KAPEDO PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,018,CHESAWACH PRIMARY SCHOOL,030157078101801,CHESAWACH PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,019,KORELACH PRIMARY SCHOOL,030157078101901,KORELACH PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,020,KAMSINO PRIMARY SCHOOL,030157078102001,KAMSINO PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,021,CHESOTIM PRE SCHOOL,030157078102101,CHESOTIM PRE SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,022,LAIN VILLAGE MOBILE,030157078102201,LAIN VILLAGE MOBILE
030,BARINGO,157,TIATY,0781,TIRIOKO,143,CHEMAYES PRIMARY SCHOOL,030157078114301,CHEMAYES PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,144,TAKAWYA PRIMARY SCHOOL,030157078114401,TAKAWYA PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,145,KANGIRURU PRIMARY SCHOOL,030157078114501,KANGIRURU PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,146,DOMO PRIMARY SCHOOL,030157078114601,DOMO PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,147,KAMPI PRIMARY SCHOOL,030157078114701,KAMPI PRIMARY SCHOOL
030,BARINGO,157,TIATY,0781,TIRIOKO,148,CHEPKIRIAL PRIMARY SCHOOL,030157078114801,CHEPKIRIAL PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,023,KOLOWA PRY. SCHOOL,030157078202301,KOLOWA PRY. SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,024,KOIPASIRAN VILLAGE,030157078202401,KOIPASIRAN VILLAGE
030,BARINGO,157,TIATY,0782,KOLOWA,025,BARBELLO PRIMARY SCHOOL,030157078202501,BARBELLO PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,026,CHEPTURU PRIMARY SCHOOL,030157078202601,CHEPTURU PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,027,TUWIT NURSERY SCHOOL,030157078202701,TUWIT NURSERY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,028,TILINGWA PRIMARY SCHOOL,030157078202801,TILINGWA PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,029,LOIWAT PRIMARY SCHOOL,030157078202901,LOIWAT PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,030,TUGOMOI PRIMARY SCHOOL,030157078203001,TUGOMOI PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,031,KIPNAI PRIMARY SCHOOL,030157078203101,KIPNAI PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,032,KAKAPUL PRIMARY SCHOOL,030157078203201,KAKAPUL PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,033,KAISAKAT PRIMARY SCHOOL,030157078203301,KAISAKAT PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,034,MEUTO PRIMARY SCHOOL,030157078203401,MEUTO PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,035,ADICH  PRIMARY SCHOOL,030157078203501,ADICH  PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,036,KAIPAPICH NURSERY SCHOOL,030157078203601,KAIPAPICH NURSERY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,037,AYELELION DAM,030157078203701,AYELELION DAM
030,BARINGO,157,TIATY,0782,KOLOWA,038,KERELON PRIMARY SCHOOL,030157078203801,KERELON PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,039,LOMUKE MOBILE,030157078203901,LOMUKE MOBILE
030,BARINGO,157,TIATY,0782,KOLOWA,040,KWOLOYOY MOBILE.,030157078204001,KWOLOYOY MOBILE.
030,BARINGO,157,TIATY,0782,KOLOWA,041,NALUKUMONG'IN PRIMARY SCHOOL,030157078204101,NALUKUMONG'IN PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,042,CHEPTUIMOT VILLAGE,030157078204201,CHEPTUIMOT VILLAGE
030,BARINGO,157,TIATY,0782,KOLOWA,043,CHEPELION PRIMARY SCHOOL,030157078204301,CHEPELION PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,044,TODO VILLAGE,030157078204401,TODO VILLAGE
030,BARINGO,157,TIATY,0782,KOLOWA,045,MOSOLION PRE-SCHOOL,030157078204501,MOSOLION PRE-SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,149,CHEPTARAN PRIMARY SCHOOL,030157078214901,CHEPTARAN PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,150,CHESANAYAN PRIMARY SCHOOL,030157078215001,CHESANAYAN PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,151,CHEMAKUTAN PRIMARY SCHOOL,030157078215101,CHEMAKUTAN PRIMARY SCHOOL
030,BARINGO,157,TIATY,0782,KOLOWA,152,KURTESWO AIC CHURCH,030157078215201,KURTESWO AIC CHURCH
030,BARINGO,157,TIATY,0782,KOLOWA,153,MWAL ECDE,030157078215301,MWAL ECDE
030,BARINGO,157,TIATY,0782,KOLOWA,154,KOKOROI ECDE,030157078215401,KOKOROI ECDE
030,BARINGO,157,TIATY,0783,RIBKWO,046,KAPEDO BRIDGE,030157078304601,KAPEDO BRIDGE
030,BARINGO,157,TIATY,0783,RIBKWO,047,NYAKWALA CENTER.,030157078304701,NYAKWALA CENTER.
030,BARINGO,157,TIATY,0783,RIBKWO,048,APAKISO PRIMARY SCHOOL,030157078304801,APAKISO PRIMARY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,049,MARON PRIMARY SCHOOL,030157078304901,MARON PRIMARY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,050,MARSABIT  FULL GOSPEL CHURCH.,030157078305001,MARSABIT  FULL GOSPEL CHURCH.
030,BARINGO,157,TIATY,0783,RIBKWO,051,CHESAKAM PRIMARY SCHOOL.,030157078305101,CHESAKAM PRIMARY SCHOOL.
030,BARINGO,157,TIATY,0783,RIBKWO,052,LORUATUM  PRIMARY SCHOOL,030157078305201,LORUATUM  PRIMARY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,053,KARUWON NURSERY SCHOOL,030157078305301,KARUWON NURSERY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,054,CHEMSIK PRIMARY SCHOOL.,030157078305401,CHEMSIK PRIMARY SCHOOL.
030,BARINGO,157,TIATY,0783,RIBKWO,055,CHEMOLINGOT PRIMARY SCHOOL,030157078305501,CHEMOLINGOT PRIMARY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,055,CHEMOLINGOT PRIMARY SCHOOL,030157078305502,CHEMOLINGOT PRIMARY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,056,CHESERET PRIMARY SCHOOL,030157078305601,CHESERET PRIMARY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,057,KOSITEI PRIMARY SCHOOL,030157078305701,KOSITEI PRIMARY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,058,KATIKIT PRIMARY SCHOOL,030157078305801,KATIKIT PRIMARY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,059,SERETION PRIMARY SCHOOL,030157078305901,SERETION PRIMARY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,060,CHEPOTINDAR PRIMARY SCHOOL,030157078306001,CHEPOTINDAR PRIMARY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,061,KOPOTARIT VILLAGE,030157078306101,KOPOTARIT VILLAGE
030,BARINGO,157,TIATY,0783,RIBKWO,062,DONG'E TRADING CENTRE,030157078306201,DONG'E TRADING CENTRE
030,BARINGO,157,TIATY,0783,RIBKWO,063,DONYASAS PRIMARY SCHOOL,030157078306301,DONYASAS PRIMARY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,064,KOPOLUK VILLAGE,030157078306401,KOPOLUK VILLAGE
030,BARINGO,157,TIATY,0783,RIBKWO,065,CHEPANDA PRY,030157078306501,CHEPANDA PRY
030,BARINGO,157,TIATY,0783,RIBKWO,066,MUKUR NURSERY SCHOOL,030157078306601,MUKUR NURSERY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,067,KAMUSUK PRIMARY SCHOOL,030157078306701,KAMUSUK PRIMARY SCHOOL
030,BARINGO,157,TIATY,0783,RIBKWO,068,KASAKARAM MOBILE,030157078306801,KASAKARAM MOBILE
030,BARINGO,157,TIATY,0783,RIBKWO,069,CHESITET PRIMARY SCHOOL,030157078306901,CHESITET PRIMARY SCHOOL
