County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,001,MALABA PRIMARY SCHOOL,040225112100101,MALABA PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,001,MALABA PRIMARY SCHOOL,040225112100102,MALABA PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,001,MALABA PRIMARY SCHOOL,040225112100103,MALABA PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,001,MALABA PRIMARY SCHOOL,040225112100104,MALABA PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,002,KAJEI PRIMARY SCHOOL,040225112100201,KAJEI PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,003,KAJEI SECONDARY SCHOOL,040225112100301,KAJEI SECONDARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,004,AMAGORO PRIMARY SCHOOL,040225112100401,AMAGORO PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,004,AMAGORO PRIMARY SCHOOL,040225112100402,AMAGORO PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,005,KIDEK PRIMARY SCHOOL,040225112100501,KIDEK PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,006,TESO COUNTY COUNCIL,040225112100601,TESO COUNTY COUNCIL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,007,ST. PAUL'S ACUNET PRIMARY SCHOOL,040225112100701,ST. PAUL'S ACUNET PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,008,GREEN TOWN OFFICES,040225112100801,GREEN TOWN OFFICES
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,008,GREEN TOWN OFFICES,040225112100802,GREEN TOWN OFFICES
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,009,MALABA RAILWAYS NURSERY SCHOOL,040225112100901,MALABA RAILWAYS NURSERY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,010,MALABA POST OFFICE,040225112101001,MALABA POST OFFICE
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,010,MALABA POST OFFICE,040225112101002,MALABA POST OFFICE
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,010,MALABA POST OFFICE,040225112101003,MALABA POST OFFICE
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,011,MALABA RAILWAYS OFFICES,040225112101101,MALABA RAILWAYS OFFICES
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,012,MALABA CEREALS BOARD,040225112101201,MALABA CEREALS BOARD
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,012,MALABA CEREALS BOARD,040225112101202,MALABA CEREALS BOARD
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,013,IKAPOLOK PRIMARY SCHOOL,040225112101301,IKAPOLOK PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,014,TESO KNUT OFFICES,040225112101401,TESO KNUT OFFICES
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,015,AMONI PRIMARY SCHOOL,040225112101501,AMONI PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,015,AMONI PRIMARY SCHOOL,040225112101502,AMONI PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,016,EKISEGERE PRIMARY SCHOOL,040225112101601,EKISEGERE PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1121,MALABA CENTRAL,017,AKIRIAMASIT PRIMARY SCHOOL,040225112101701,AKIRIAMASIT PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,018,OSASAME PRIMARY SCHOOL,040225112201801,OSASAME PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,018,OSASAME PRIMARY SCHOOL,040225112201802,OSASAME PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,019,KORURUMA PRMARY SCHOOL,040225112201901,KORURUMA PRMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,020,JAIROS COOPERATIVE SOCIETY,040225112202001,JAIROS COOPERATIVE SOCIETY
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,021,KAUKOTOIT PRIMARY SCHOOL,040225112202101,KAUKOTOIT PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,021,KAUKOTOIT PRIMARY SCHOOL,040225112202102,KAUKOTOIT PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,022,AWATA A.C.K NURSERY SCHOOL,040225112202201,AWATA A.C.K NURSERY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,023,KAKOLI PRIMARY SCHOOL,040225112202301,KAKOLI PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,024,OSAJAI POLYTECHNIC,040225112202401,OSAJAI POLYTECHNIC
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,025,OSAJAI COOPERATIVE SOCIETY,040225112202501,OSAJAI COOPERATIVE SOCIETY
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,026,KORISAI PRIMARY SCHOOL,040225112202601,KORISAI PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,026,KORISAI PRIMARY SCHOOL,040225112202602,KORISAI PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,027,OKULEU  PRIMARY SCHOOL,040225112202701,OKULEU  PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,027,OKULEU  PRIMARY SCHOOL,040225112202702,OKULEU  PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,028,ST. JAMES OSIA PRIMARY SCHOOL,040225112202801,ST. JAMES OSIA PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,029,KAMURIAI PRIMARY SCHOOL,040225112202901,KAMURIAI PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,030,AGONG'ET PRIMARY SCHOOL,040225112203001,AGONG'ET PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1122,MALABA NORTH,031,OSERE MARKET,040225112203101,OSERE MARKET
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,032,KATAKWA PRIMARY SCHOOL,040225112303201,KATAKWA PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,033,KABUKUI PRIMARY SCHOOL,040225112303301,KABUKUI PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,034,AEDOMORU PRIMARY SCHOOL,040225112303401,AEDOMORU PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,035,OKIMARU ACK PRIMARY SCHOOL,040225112303501,OKIMARU ACK PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,036,AKALONG'O PRIMARY SCHOOL,040225112303601,AKALONG'O PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,037,KOSENY PRIMARY SCHOOL,040225112303701,KOSENY PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,038,KAMUNYELE PRIMARY SCHOOL,040225112303801,KAMUNYELE PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,039,RWATAMA PRIMARY SCHOOL,040225112303901,RWATAMA PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,040,KAUJAKITO PRIMARY SCHOOL,040225112304001,KAUJAKITO PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,041,AKICHELESIT PRIMARY SCHOOL,040225112304101,AKICHELESIT PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,042,KOLANYA BOYS PRIMARY SCHOOL,040225112304201,KOLANYA BOYS PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,043,ABOLOI PRIMARY SCHOOL,040225112304301,ABOLOI PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,044,GOROMAIT PRIMARY SCHOOL,040225112304401,GOROMAIT PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,045,MWARI PRIMARY SCHOOL,040225112304501,MWARI PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,046,ABOLOI TRADING CENTRE,040225112304601,ABOLOI TRADING CENTRE
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,047,KAKAPEL PRIMARY SCHOOL,040225112304701,KAKAPEL PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,047,KAKAPEL PRIMARY SCHOOL,040225112304702,KAKAPEL PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,048,KAKAPEL COMMUNITY CENTRE,040225112304801,KAKAPEL COMMUNITY CENTRE
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,049,KEKALET PRIMARY SCHOOL,040225112304901,KEKALET PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,050,KETEBAT PRIMARY SCHOOL,040225112305001,KETEBAT PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,051,KANGELEMUGE PRIMARY SCHOOL,040225112305101,KANGELEMUGE PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1123,ANG'URAI SOUTH,052,KAESET PRIMARY SCHOOL,040225112305201,KAESET PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,053,ADANYA PRIMARY SCHOOL,040225112405301,ADANYA PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,054,MODING PRIMARY SCHOOL,040225112405401,MODING PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,054,MODING PRIMARY SCHOOL,040225112405402,MODING PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,055,AKIRIAMET PRIMARY SCHOOL,040225112405501,AKIRIAMET PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,056,KAPESUR NURSERY SCHOOL,040225112405601,KAPESUR NURSERY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,057,KAKURIKIT PRIMARY SCHOOL,040225112405701,KAKURIKIT PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,057,KAKURIKIT PRIMARY SCHOOL,040225112405702,KAKURIKIT PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,058,KATOTOI PRIMARY  SCHOOL,040225112405801,KATOTOI PRIMARY  SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,058,KATOTOI PRIMARY  SCHOOL,040225112405802,KATOTOI PRIMARY  SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,059,ANGURAI PRIMARY SCHOOL,040225112405901,ANGURAI PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,059,ANGURAI PRIMARY SCHOOL,040225112405902,ANGURAI PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,060,CHELELEMUK GIRLS BOARDING PRIMARY SC,040225112406001,CHELELEMUK GIRLS BOARDING PRIMAR
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,060,CHELELEMUK GIRLS BOARDING PRIMARY SC,040225112406002,CHELELEMUK GIRLS BOARDING PRIMAR
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,061,ANG'URAI HEALTH CENTRE,040225112406101,ANG'URAI HEALTH CENTRE
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,062,KONGOLOLO PRIMARY SCHOOL,040225112406201,KONGOLOLO PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,063,KAKERIAUT PRIMARY SCHOOL,040225112406301,KAKERIAUT PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,064,KOLAIT PRIMARY SCHOOL,040225112406401,KOLAIT PRIMARY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,065,ADUMAI MARKET,040225112406501,ADUMAI MARKET
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,066,MODING SECONDARY SCHOOL,040225112406601,MODING SECONDARY SCHOOL
040,BUSIA,225,TESO NORTH,1124,ANG'URAI NORTH,067,DUKA MOJA MARKET,040225112406701,DUKA MOJA MARKET
