County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,001,GARISSA SECONDARY SCHOOL,007027013100101,GARISSA SECONDARY SCHOOL
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,001,GARISSA SECONDARY SCHOOL,007027013100102,GARISSA SECONDARY SCHOOL
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,001,GARISSA SECONDARY SCHOOL,007027013100103,GARISSA SECONDARY SCHOOL
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,001,GARISSA SECONDARY SCHOOL,007027013100104,GARISSA SECONDARY SCHOOL
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,002,NASIB PRIMARY SCHOOL,007027013100201,NASIB PRIMARY SCHOOL
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,002,NASIB PRIMARY SCHOOL,007027013100202,NASIB PRIMARY SCHOOL
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,002,NASIB PRIMARY SCHOOL,007027013100203,NASIB PRIMARY SCHOOL
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,003,BULLA COLLEGE PRIMARY SCHOOL,007027013100301,BULLA COLLEGE PRIMARY SCHOOL
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,003,BULLA COLLEGE PRIMARY SCHOOL,007027013100302,BULLA COLLEGE PRIMARY SCHOOL
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,004,BULLA MZURI  MARKET CENTRE,007027013100401,BULLA MZURI  MARKET CENTRE
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,004,BULLA MZURI  MARKET CENTRE,007027013100402,BULLA MZURI  MARKET CENTRE
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,005,BOYSTOWN PRIMARY SCHOOL,007027013100501,BOYSTOWN PRIMARY SCHOOL
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,005,BOYSTOWN PRIMARY SCHOOL,007027013100502,BOYSTOWN PRIMARY SCHOOL
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,006,BULLA MZURI PRIMARY SCHOOL,007027013100601,BULLA MZURI PRIMARY SCHOOL
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,007,BASHAAL MARKET CENTRE,007027013100701,BASHAAL MARKET CENTRE
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,007,BASHAAL MARKET CENTRE,007027013100702,BASHAAL MARKET CENTRE
007,GARISSA,027,GARISSA TOWNSHIP,0131,WABERI,007,BASHAAL MARKET CENTRE,007027013100703,BASHAAL MARKET CENTRE
