County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,001,MLIMANI PRIMARY SCHOOL,037199099100101,MLIMANI PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,001,MLIMANI PRIMARY SCHOOL,037199099100102,MLIMANI PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,001,MLIMANI PRIMARY SCHOOL,037199099100103,MLIMANI PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,002,MUKUYU PRIMARY SCHOOL,037199099100201,MUKUYU PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,002,MUKUYU PRIMARY SCHOOL,037199099100202,MUKUYU PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,003,MAUTUMA D.E.B PRIMARY SCHOOL,037199099100301,MAUTUMA D.E.B PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,003,MAUTUMA D.E.B PRIMARY SCHOOL,037199099100302,MAUTUMA D.E.B PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,004,ST. MARY'S BOARDING PRIMARY SCHOOL,037199099100401,ST. MARY'S BOARDING PRIMARY SCHO
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,004,ST. MARY'S BOARDING PRIMARY SCHOOL,037199099100402,ST. MARY'S BOARDING PRIMARY SCHO
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,005,MBAGARA PRIMARY SCHOOL,037199099100501,MBAGARA PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,005,MBAGARA PRIMARY SCHOOL,037199099100502,MBAGARA PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,006,ST. KIZITO PRIMARY SCHOOL,037199099100601,ST. KIZITO PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,006,ST. KIZITO PRIMARY SCHOOL,037199099100602,ST. KIZITO PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,006,ST. KIZITO PRIMARY SCHOOL,037199099100603,ST. KIZITO PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,007,MACHO PRIMARY SCHOOL,037199099100701,MACHO PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,007,MACHO PRIMARY SCHOOL,037199099100702,MACHO PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,008,MUKONGE PRIMARY SCHOOL,037199099100801,MUKONGE PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,009,NABEMO PRIMARY SCHOOL,037199099100901,NABEMO PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,010,ST. LOUIS SAISI PRIMARY  SCHOOL,037199099101001,ST. LOUIS SAISI PRIMARY  SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,010,ST. LOUIS SAISI PRIMARY  SCHOOL,037199099101002,ST. LOUIS SAISI PRIMARY  SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,011,SIPANDE PRIMARY SCHOOL,037199099101101,SIPANDE PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,011,SIPANDE PRIMARY SCHOOL,037199099101102,SIPANDE PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,012,MAHIGA NURSERY SCHOOL,037199099101201,MAHIGA NURSERY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,013,IVONA EAST NURSERY SCHOOL,037199099101301,IVONA EAST NURSERY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,014,MILEMBE NURSERY SCHOOL,037199099101401,MILEMBE NURSERY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,015,SCHEMELINE NURSERY SCHOOL,037199099101501,SCHEMELINE NURSERY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,016,MUSUNZU NURSERY SCHOOL,037199099101601,MUSUNZU NURSERY SCHOOL
037,KAKAMEGA,199,LUGARI,0991,MAUTUMA,017,MINYALI WATER POINT,037199099101701,MINYALI WATER POINT
037,KAKAMEGA,199,LUGARI,0992,LUGARI,018,SAVALA PRIMARY SCHOOL,037199099201801,SAVALA PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0992,LUGARI,018,SAVALA PRIMARY SCHOOL,037199099201802,SAVALA PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0992,LUGARI,019,MARULA PRIMARY SCHOOL,037199099201901,MARULA PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0992,LUGARI,019,MARULA PRIMARY SCHOOL,037199099201902,MARULA PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0992,LUGARI,019,MARULA PRIMARY SCHOOL,037199099201903,MARULA PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0992,LUGARI,020,MANYONYI PRIMARY SCHOOL,037199099202001,MANYONYI PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0992,LUGARI,020,MANYONYI PRIMARY SCHOOL,037199099202002,MANYONYI PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0992,LUGARI,021,LUGARI PRIMARY SCHOOL,037199099202101,LUGARI PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0992,LUGARI,021,LUGARI PRIMARY SCHOOL,037199099202102,LUGARI PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0992,LUGARI,022,MUFUTU PRIMARY SCHOOL,037199099202201,MUFUTU PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0992,LUGARI,022,MUFUTU PRIMARY SCHOOL,037199099202202,MUFUTU PRIMARY SCHOOL
037,KAKAMEGA,199,LUGARI,0992,LUGARI,023,LWANDA LUGARI PRIMARY SCHOOL,037199099202301,LWANDA LUGARI PRIMARY SCHOOL
