County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
017,MAKUENI,083,MBOONI,0411,TULIMANI,001,KITITHINI PR.SCH.,017083041100101,KITITHINI PR.SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,002,KANGO PR. SCH.,017083041100201,KANGO PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,003,KIATINENI PR. SCH.,017083041100301,KIATINENI PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,003,KIATINENI PR. SCH.,017083041100302,KIATINENI PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,004,KYAMITHENGE PR. SCH.,017083041100401,KYAMITHENGE PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,005,KYANGUSWI PR. SCH.,017083041100501,KYANGUSWI PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,006,TULIMANI PR. SCH.,017083041100601,TULIMANI PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,007,KAKIMA PR. SCH.,017083041100701,KAKIMA PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,008,KAKIMA COMPLEX,017083041100801,KAKIMA COMPLEX
017,MAKUENI,083,MBOONI,0411,TULIMANI,009,WANZAUNI PR. SCH,017083041100901,WANZAUNI PR. SCH
017,MAKUENI,083,MBOONI,0411,TULIMANI,009,WANZAUNI PR. SCH,017083041100902,WANZAUNI PR. SCH
017,MAKUENI,083,MBOONI,0411,TULIMANI,010,IVUVUKA PR. SCH.,017083041101001,IVUVUKA PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,011,MUUMONI PR.SCH.,017083041101101,MUUMONI PR.SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,012,WAMBULI PR.SCH,017083041101201,WAMBULI PR.SCH
017,MAKUENI,083,MBOONI,0411,TULIMANI,013,ITETANI PR. SCH.,017083041101301,ITETANI PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,013,ITETANI PR. SCH.,017083041101302,ITETANI PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,014,NTHANGATHINI PR. SCH.,017083041101401,NTHANGATHINI PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,015,KINYUANI PR. SCH,017083041101501,KINYUANI PR. SCH
017,MAKUENI,083,MBOONI,0411,TULIMANI,016,ABC THWAKE PR.SCH,017083041101601,ABC THWAKE PR.SCH
017,MAKUENI,083,MBOONI,0411,TULIMANI,017,UVAANI PR. SCH.,017083041101701,UVAANI PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,018,MUSAU EMALE PR. SCH.,017083041101801,MUSAU EMALE PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,018,MUSAU EMALE PR. SCH.,017083041101802,MUSAU EMALE PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,019,MUTAKI PR.SCH,017083041101901,MUTAKI PR.SCH
017,MAKUENI,083,MBOONI,0411,TULIMANI,020,KILIKU PR. SCH.,017083041102001,KILIKU PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,021,TUTUTHA PR. SCH.,017083041102101,TUTUTHA PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,021,TUTUTHA PR. SCH.,017083041102102,TUTUTHA PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,022,KALAWANI ABC POLYTECHNIC,017083041102201,KALAWANI ABC POLYTECHNIC
017,MAKUENI,083,MBOONI,0411,TULIMANI,022,KALAWANI ABC POLYTECHNIC,017083041102202,KALAWANI ABC POLYTECHNIC
017,MAKUENI,083,MBOONI,0411,TULIMANI,023,NTHAANI PR. SCH.,017083041102301,NTHAANI PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,024,KWAITHI PR. SCH.,017083041102401,KWAITHI PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,025,MUKETANI NUR.SCH,017083041102501,MUKETANI NUR.SCH
017,MAKUENI,083,MBOONI,0411,TULIMANI,026,KATHOKANI PR.SCH.,017083041102601,KATHOKANI PR.SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,027,KITOO PR. SCH.,017083041102701,KITOO PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,028,MAVINDU PR. SCH.,017083041102801,MAVINDU PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,028,MAVINDU PR. SCH.,017083041102802,MAVINDU PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,029,MUTHETHENI NUR. SCH.,017083041102901,MUTHETHENI NUR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,030,UTUMONI PR.SCH,017083041103001,UTUMONI PR.SCH
017,MAKUENI,083,MBOONI,0411,TULIMANI,031,KYANGUMA PR. SCH.,017083041103101,KYANGUMA PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,032,MUSOA PR. SCH.,017083041103201,MUSOA PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,033,VYANYUNI NURSERY,017083041103301,VYANYUNI NURSERY
017,MAKUENI,083,MBOONI,0411,TULIMANI,034,MULOONI PR. SCH.,017083041103401,MULOONI PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,035,UUTA SOC. HALL,017083041103501,UUTA SOC. HALL
017,MAKUENI,083,MBOONI,0411,TULIMANI,036,MUTHWANI PR. SCH.,017083041103601,MUTHWANI PR. SCH.
017,MAKUENI,083,MBOONI,0411,TULIMANI,037,MALAA PR. SCH.,017083041103701,MALAA PR. SCH.
017,MAKUENI,083,MBOONI,0412,MBOONI,038,MUTITU SDA PR.SCH,017083041203801,MUTITU SDA PR.SCH
017,MAKUENI,083,MBOONI,0412,MBOONI,038,MUTITU SDA PR.SCH,017083041203802,MUTITU SDA PR.SCH
017,MAKUENI,083,MBOONI,0412,MBOONI,039,KIVANDINI SOCIAL HALL,017083041203901,KIVANDINI SOCIAL HALL
017,MAKUENI,083,MBOONI,0412,MBOONI,040,MUKAATINI PR. SCH.,017083041204001,MUKAATINI PR. SCH.
017,MAKUENI,083,MBOONI,0412,MBOONI,040,MUKAATINI PR. SCH.,017083041204002,MUKAATINI PR. SCH.
017,MAKUENI,083,MBOONI,0412,MBOONI,041,MUKASI PR.SCH.,017083041204101,MUKASI PR.SCH.
017,MAKUENI,083,MBOONI,0412,MBOONI,042,ITHEMBONI BOYS PR.SCH,017083041204201,ITHEMBONI BOYS PR.SCH
017,MAKUENI,083,MBOONI,0412,MBOONI,042,ITHEMBONI BOYS PR.SCH,017083041204202,ITHEMBONI BOYS PR.SCH
017,MAKUENI,083,MBOONI,0412,MBOONI,043,ITHEMBONI GIRLS PR.SCH,017083041204301,ITHEMBONI GIRLS PR.SCH
017,MAKUENI,083,MBOONI,0412,MBOONI,044,KUSYETHUKU PR.SCH,017083041204401,KUSYETHUKU PR.SCH
017,MAKUENI,083,MBOONI,0412,MBOONI,045,NDUNI PR.SCH.,017083041204501,NDUNI PR.SCH.
017,MAKUENI,083,MBOONI,0412,MBOONI,046,MBOONI COUNTY PR.SCH.,017083041204601,MBOONI COUNTY PR.SCH.
017,MAKUENI,083,MBOONI,0412,MBOONI,046,MBOONI COUNTY PR.SCH.,017083041204602,MBOONI COUNTY PR.SCH.
