County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
010,MARSABIT,045,MOYALE,0221,BUTIYE,001,BORI PRIMARY SCHOOL,010045022100101,BORI PRIMARY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,002,KATE PRIMARY SCHOOL,010045022100201,KATE PRIMARY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,003,SOMARE PRIMARY SCHOOL,010045022100301,SOMARE PRIMARY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,003,SOMARE PRIMARY SCHOOL,010045022100302,SOMARE PRIMARY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,004,BUTIYE PRIMARY SCHOOL,010045022100401,BUTIYE PRIMARY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,004,BUTIYE PRIMARY SCHOOL,010045022100402,BUTIYE PRIMARY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,004,BUTIYE PRIMARY SCHOOL,010045022100403,BUTIYE PRIMARY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,004,BUTIYE PRIMARY SCHOOL,010045022100404,BUTIYE PRIMARY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,004,BUTIYE PRIMARY SCHOOL,010045022100405,BUTIYE PRIMARY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,005,MOYALE BOYS' SECONDARY SCHOOL,010045022100501,MOYALE BOYS' SECONDARY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,005,MOYALE BOYS' SECONDARY SCHOOL,010045022100502,MOYALE BOYS' SECONDARY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,006,DADACHA LAKOLE PRIMARY SCHOOL,010045022100601,DADACHA LAKOLE PRIMARY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,007,KURAA MANYATTA CENTRE,010045022100701,KURAA MANYATTA CENTRE
010,MARSABIT,045,MOYALE,0221,BUTIYE,008,MALKA DHOKE MOBILE,010045022100801,MALKA DHOKE MOBILE
010,MARSABIT,045,MOYALE,0221,BUTIYE,009,QILTA PRIMARY SCHOOL,010045022100901,QILTA PRIMARY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,010,BUTIYE NURSERY SCHOOL,010045022101001,BUTIYE NURSERY SCHOOL
010,MARSABIT,045,MOYALE,0221,BUTIYE,010,BUTIYE NURSERY SCHOOL,010045022101002,BUTIYE NURSERY SCHOOL
