County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,001,SHARTUKA PRIMARY SCHOOL,033177088100101,SHARTUKA PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,001,SHARTUKA PRIMARY SCHOOL,033177088100102,SHARTUKA PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,002,INKORIENITO PRIMARY SCHOOL,033177088100201,INKORIENITO PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,003,ORONKAI PRIMARY SCHOOL,033177088100301,ORONKAI PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,004,TORORET PRIMARY SCHOOL,033177088100401,TORORET PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,005,KAPUNE PRIMARY SCHOOL,033177088100501,KAPUNE PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,005,KAPUNE PRIMARY SCHOOL,033177088100502,KAPUNE PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,006,ROMOSHA PRIMARY SCHOOL,033177088100601,ROMOSHA PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,007,MEGUARRA PRIMARY SCHOOL,033177088100701,MEGUARRA PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,008,OLOSHAIKI PRIMARY SCHOOL,033177088100801,OLOSHAIKI PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,009,OSUPUKO PRIMARY SCHOOL,033177088100901,OSUPUKO PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,010,OSONKOROI PRIMARY SCHOOL,033177088101001,OSONKOROI PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,011,NARONYO PRIMARY SCHOOL,033177088101101,NARONYO PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,012,POROKO PRIMARY SCHOOL,033177088101201,POROKO PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,012,POROKO PRIMARY SCHOOL,033177088101202,POROKO PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,013,KIPUPU PRIMARY SCHOOL,033177088101301,KIPUPU PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,014,KILGORIS TOWNSHIP PRIMARY SCHOOL,033177088101401,KILGORIS TOWNSHIP PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,015,OLTANKI PRIMARY SCHOOL,033177088101501,OLTANKI PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,015,OLTANKI PRIMARY SCHOOL,033177088101502,OLTANKI PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,016,OLOIBORSOITO PRIMARY SCHOOL,033177088101601,OLOIBORSOITO PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,016,OLOIBORSOITO PRIMARY SCHOOL,033177088101602,OLOIBORSOITO PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,017,OLDONYO RASHA PRIMARY SCHOOL,033177088101701,OLDONYO RASHA PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,018,OLENGOLOTO PRIMARY SCHOOL,033177088101801,OLENGOLOTO PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,019,NAILARE PRIMARY SCHOOL,033177088101901,NAILARE PRIMARY SCHOOL
033,NAROK,177,KILGORIS,0881,KILGORIS CENTRAL,020,ESAEI PRIMARY SCHOOL,033177088102001,ESAEI PRIMARY SCHOOL
