County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,001,RIKENYE D.E.B PRIMARY SCHOOL.,046270134600101,RIKENYE D.E.B PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,002,EMBARO D.O.K PRIMARY SCHOOL,046270134600201,EMBARO D.O.K PRIMARY SCHOOL
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,002,EMBARO D.O.K PRIMARY SCHOOL,046270134600202,EMBARO D.O.K PRIMARY SCHOOL
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,003,KEROKA FARMERS CO-OP SOCIETY,046270134600301,KEROKA FARMERS CO-OP SOCIETY
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,003,KEROKA FARMERS CO-OP SOCIETY,046270134600302,KEROKA FARMERS CO-OP SOCIETY
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,003,KEROKA FARMERS CO-OP SOCIETY,046270134600303,KEROKA FARMERS CO-OP SOCIETY
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,003,KEROKA FARMERS CO-OP SOCIETY,046270134600304,KEROKA FARMERS CO-OP SOCIETY
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,003,KEROKA FARMERS CO-OP SOCIETY,046270134600305,KEROKA FARMERS CO-OP SOCIETY
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,004,NYASORE S.D.A PRIMARY SCHOOL.,046270134600401,NYASORE S.D.A PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,005,BOCHARIA P.A.G PRIMARY SCHOOL.,046270134600501,BOCHARIA P.A.G PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,005,BOCHARIA P.A.G PRIMARY SCHOOL.,046270134600502,BOCHARIA P.A.G PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,006,KIERIRA DOK PRIMARY SCHOOL.,046270134600601,KIERIRA DOK PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,006,KIERIRA DOK PRIMARY SCHOOL.,046270134600602,KIERIRA DOK PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,007,NYANCHONORI DOK PRIMARY SCHOOL.,046270134600701,NYANCHONORI DOK PRIMARY SCHOO
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,007,NYANCHONORI DOK PRIMARY SCHOOL.,046270134600702,NYANCHONORI DOK PRIMARY SCHOO
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,007,NYANCHONORI DOK PRIMARY SCHOOL.,046270134600703,NYANCHONORI DOK PRIMARY SCHOO
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,008,MONG'ONI D.E.B PRIMARY SCHOOL.,046270134600801,MONG'ONI D.E.B PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,008,MONG'ONI D.E.B PRIMARY SCHOOL.,046270134600802,MONG'ONI D.E.B PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,009,NYANKOBA SDA PRIMARY SCHOOL,046270134600901,NYANKOBA SDA PRIMARY SCHOOL
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,010,BITICHA D.O.K PRIMARY SCHOOL.,046270134601001,BITICHA D.O.K PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,010,BITICHA D.O.K PRIMARY SCHOOL.,046270134601002,BITICHA D.O.K PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,011,KENYERERE DOK PRIMARY SCHOOL,046270134601101,KENYERERE DOK PRIMARY SCHOOL
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,011,KENYERERE DOK PRIMARY SCHOOL,046270134601102,KENYERERE DOK PRIMARY SCHOOL
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,012,BORABU D.E.B PRIMARY SCHOOL.,046270134601201,BORABU D.E.B PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,012,BORABU D.E.B PRIMARY SCHOOL.,046270134601202,BORABU D.E.B PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,013,MOBAMBA TEA BUYING CENTRE,046270134601301,MOBAMBA TEA BUYING CENTRE
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,013,MOBAMBA TEA BUYING CENTRE,046270134601302,MOBAMBA TEA BUYING CENTRE
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,014,RIABORE D.O.K PRIMARY SCHOOL,046270134601401,RIABORE D.O.K PRIMARY SCHOOL
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,015,KEGOGI P.A.G PRIMARY SCHOOL.,046270134601501,KEGOGI P.A.G PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,015,KEGOGI P.A.G PRIMARY SCHOOL.,046270134601502,KEGOGI P.A.G PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,016,MATANGI D.O.K PRIMARY SCHOOL.,046270134601601,MATANGI D.O.K PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,017,RIYABE D.E.B PRIMARY SCHOOL.,046270134601701,RIYABE D.E.B PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,017,RIYABE D.E.B PRIMARY SCHOOL.,046270134601702,RIYABE D.E.B PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,018,BOTANA D.O.K PRIMARY SCHOOL.,046270134601801,BOTANA D.O.K PRIMARY SCHOOL.
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,019,NYAIGESA D.O.K PRIMARY SCHOOL,046270134601901,NYAIGESA D.O.K PRIMARY SCHOOL
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,019,NYAIGESA D.O.K PRIMARY SCHOOL,046270134601902,NYAIGESA D.O.K PRIMARY SCHOOL
046,NYAMIRA,270,KITUTU MASABA,1346,RIGOMA,020,ERONGE D.O.K PRIIMARY SCHOOL,046270134602001,ERONGE D.O.K PRIIMARY SCHOOL
