County Code,County Name,Const Code,Const.  Name,CAW Code,CAW Name,Reg. Centre Code,Reg. Centre Name,Polling Station Code,Polling Station Name Name
041,SIAYA,232,UGENYA,1156,WEST UGENYA,001,LUNG'A PRIMARY  SCHOOL,041232115600101,LUNG'A PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,001,LUNG'A PRIMARY  SCHOOL,041232115600102,LUNG'A PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,002,SIGINGA PRIMARY  SCHOOL,041232115600201,SIGINGA PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,003,ST. PATRICK SIFUYO PRIMARY  SCHOOL,041232115600301,ST. PATRICK SIFUYO PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,003,ST. PATRICK SIFUYO PRIMARY  SCHOOL,041232115600302,ST. PATRICK SIFUYO PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,004,PAP OLANG' PRIMARY  SCHOOL,041232115600401,PAP OLANG' PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,004,PAP OLANG' PRIMARY  SCHOOL,041232115600402,PAP OLANG' PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,005,HUMWEND PRIMARY  SCHOOL,041232115600501,HUMWEND PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,005,HUMWEND PRIMARY  SCHOOL,041232115600502,HUMWEND PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,005,HUMWEND PRIMARY  SCHOOL,041232115600503,HUMWEND PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,006,BAR ANYANGA PRIMARY SCHOOL,041232115600601,BAR ANYANGA PRIMARY SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,006,BAR ANYANGA PRIMARY SCHOOL,041232115600602,BAR ANYANGA PRIMARY SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,007,MILAMBO PRIMARY  SCHOOL,041232115600701,MILAMBO PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,008,HAFUMBRE PRIMARY  SCHOOL,041232115600801,HAFUMBRE PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,008,HAFUMBRE PRIMARY  SCHOOL,041232115600802,HAFUMBRE PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,009,MIYARE PRIMARY  SCHOOL,041232115600901,MIYARE PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,009,MIYARE PRIMARY  SCHOOL,041232115600902,MIYARE PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,010,BAR ONINGE PRIMARY  SCHOOL,041232115601001,BAR ONINGE PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,010,BAR ONINGE PRIMARY  SCHOOL,041232115601002,BAR ONINGE PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,011,MAGOMBE PRIMARY  SCHOOL,041232115601101,MAGOMBE PRIMARY  SCHOOL
041,SIAYA,232,UGENYA,1156,WEST UGENYA,012,NYAHARWA PRIMARY  SCHOOL,041232115601201,NYAHARWA PRIMARY  SCHOOL
